,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
3934,3934,3934,ScTmO3,Sc,Tm,0,not balanced,not balanced,0.87,0.96,cubic,-2.61,1.26,0,14.569,0.69,4.176,4.176,4.176,90,90,90,-1.199,0.7111111111,0.6795571663,6.54,6.184,1.36,1.25,0.6801408445999999
3938,3938,3938,ScYO3,Sc,Y,0,not balanced,not balanced,0.87,0.9,cubic,-2.427,1.381,0,15.373,0.665,4.252,4.252,4.252,90,90,90,-2.179,0.6666666667,0.6976786908,6.54,6.38,1.36,1.22,0.6978836493
3951,3951,3951,SiCaO3,Si,Ca,0,not balanced,not balanced,0.4,1.0,orthorhombic,-3.108,0.184,-,12.268,4.126,4.921,5.143,9.694,90,90,90,-9.925,0.7407407407,0.5265688796,8.151,6.1129999999999995,1.9,1,0.5303300859000001
3964,3964,3964,SiGeO3,Si,Ge,0,2,4,0.4,0.53,cubic,-1.121,1.29,-,10.332,1.221,3.724,3.724,3.724,90,90,90,3.399,0.39259259259999996,0.6582110995,8.151,7.899,1.9,2.01,0.659477827
3965,3965,3965,SiHfO3,Si,Hf,0,not balanced,not balanced,0.4,0.71,cubic,-2.188,1.049,0,13.369,1.454,4.058,4.058,4.058,90,90,90,4.313,0.5259259259000001,0.6006975083,8.151,6.65,1.9,1.3,0.603219055
3977,3977,3977,SiNaO3,Si,Na,0,not balanced,not balanced,0.4,1.02,orthorhombic,-2.283,0.226,-,11.325,0.583,4.918,5.456,8.442,90,90,90,-14.205,0.7555555556,0.5221252604,8.151,5.138999999999999,1.9,0.93,0.5259471926
3996,3996,3996,Si2O3,Si,Si,0,not balanced,not balanced,0.4,0.4,cubic,-1.763,1.003,-,8.977,1.921,3.554,3.554,3.554,90,90,90,5.683,0.2962962963,0.7071067812,8.151,8.151,1.9,1.9,0.7071067812
3998,3998,3998,SiSnO3,Si,Sn,0,2,4,0.4,0.69,cubic,-1.023,1.436,-,12.901,1.755,4.01,4.01,4.01,90,90,90,2.712,0.5111111111,0.6065866995,8.151,7.343999999999999,1.9,1.96,0.6089914862
4005,4005,4005,SiTiO3,Si,Ti,0,not balanced,not balanced,0.4,0.71,cubic,-1.964,1,0,11.403,1.725,3.849,3.849,3.849,90,90,90,1.685,0.5259259259000001,0.6006975083,8.151,6.82,1.9,1.54,0.603219055
4014,4014,4014,SiZrO3,Si,Zr,0,not balanced,not balanced,0.4,0.72,cubic,-1.995,1.137,0,13.933,1.469,4.115,4.115,4.115,90,90,90,3.899,0.5333333333,0.597795588,8.151,6.84,1.9,1.33,0.6003736821
4017,4017,4017,SmAlO3,Sm,Al,1,3,3,1.24,0.54,orthorhombic,-3.537,-0.054,0,10.494,4.871,5.288,5.305,7.481,90,90,90,6.413,0.4,0.9689981816,5.64,5.986000000000001,1.17,1.61,0.9622484032999999
4020,4020,4020,SmBO3,Sm,B,0,not balanced,not balanced,1.24,0.27,cubic,-2.474,0.849,0,8.649,2.677,3.51,3.51,3.51,90,90,90,5.211,0.2,1.1304978786,5.64,8.298,1.17,2.04,1.1178214984000001
4026,4026,4026,SmCeO3,Sm,Ce,0,2,4,1.32,0.87,cubic,-2.444,1.167,0,18.747,0.779,4.543,4.543,4.543,90,90,90,-1.929,0.6444444443999999,0.8504392368000001,5.64,5.54,1.17,1.12,0.8472821343000001
4028,4028,4028,SmCrO3,Sm,Cr,1,3,3,1.24,0.62,orthorhombic,-3.151,-0.06,0.6,11.543,2.441,5.364,5.595,7.691,90,90,90,4.538,0.4592592593,0.9296480017000001,5.64,6.766,1.17,1.66,0.9241395556
4031,4031,4031,SmDyO3,Sm,Dy,0,not balanced,not balanced,1.24,0.99,cubic,-3.027,0.749,0,15.621,1.796,4.275,4.275,4.275,90,90,90,4.233,0.7333333333,0.7826523775,5.64,5.94,1.17,1.22,0.7810719257
4032,4032,4032,SmErO3,Sm,Er,0,not balanced,not balanced,1.24,0.89,cubic,-3.123,0.676,0,15.136,2.014,4.23,4.23,4.23,90,90,90,4.502,0.6592592593,0.8175922157,5.64,6.101,1.17,1.24,0.81517987
4034,4034,4034,SmFeO3,Sm,Fe,1,3,3,1.24,0.65,orthorhombic,-2.734,-0.03,1,11.7,1.151,5.383,5.638,7.71,90,90,90,3.624,0.4814814815,0.9157032815999999,5.64,7.87,1.17,1.83,0.9106155620999999
4035,4035,4035,SmGaO3,Sm,Ga,0,3,3,1.24,0.62,orthorhombic,-2.921,0.006,0,11.496,4.124,5.362,5.586,7.676,90,90,90,4.735,0.4592592593,0.9296480017000001,5.64,5.999,1.17,1.81,0.9241395556
4036,4036,4036,SmGdO3,Sm,Gd,0,not balanced,not balanced,1.24,0.94,cubic,-2.915,0.832,0,16.192,1.508,4.326,4.326,4.326,90,90,90,1.26,0.6962962963,0.7997408573,5.64,6.15,1.17,1.2,0.7977614967000001
4040,4040,4040,SmHoO3,Sm,Ho,0,not balanced,not balanced,1.24,0.9,cubic,-3.077,0.711,0,15.373,1.81,4.252,4.252,4.252,90,90,90,4.384,0.6666666667,0.8139584726000001,5.64,6.018,1.17,1.23,0.8116356097
4041,4041,4041,SmInO3,Sm,In,1,not balanced,not balanced,1.24,0.8,cubic,-2.231,0.541,0,13.327,1.604,4.054,4.054,4.054,90,90,90,3.031,0.5925925926,0.8518170062,5.64,5.7860000000000005,1.17,1.78,0.8485281374
4043,4043,4043,SmKO3,Sm,K,0,not balanced,not balanced,1.24,1.38,orthorhombic,-2.137,0.291,0,17.217,1.596,6.325,6.401,8.505,90,90,90,-3.394,1.0222222222,0.670844895,5.64,4.341,1.17,0.82,0.6714970872
4044,4044,4044,SmLaO3,Sm,La,0,not balanced,not balanced,1.24,1.03,cubic,-2.566,1.141,0,18.469,0.557,4.52,4.52,4.52,90,90,90,2.17,0.762962963,0.769498556,5.64,5.58,1.17,1.1,0.7682147746
4046,4046,4046,SmLuO3,Sm,Lu,0,not balanced,not balanced,1.24,0.86,cubic,-3.26,0.572,0,14.456,1.986,4.166,4.166,4.166,90,90,90,4.842,0.637037037,0.8286907526,5.64,5.4259,1.17,1.27,0.8260008417
4052,4052,4052,SmNdO3,Sm,Nd,0,not balanced,not balanced,1.24,0.98,cubic,-2.622,1.038,0,17.747,0.993,4.46,4.46,4.46,90,90,90,-,0.7259259259,0.7860114005,5.64,5.53,1.17,1.14,0.7843537405
4060,4060,4060,SmPrO3,Sm,Pr,0,2,4,1.32,0.85,cubic,-2.54,1.099,0,18.21,0.993,4.499,4.499,4.499,90,90,90,2.566,0.6296296296,0.8581705026,5.64,5.46,1.17,1.13,0.8548135309999999
4065,4065,4065,SmRhO3,Sm,Rh,1,2,4,1.32,0.6,orthorhombic,-2.37,-0.053,0,11.987,0.783,5.337,5.818,7.72,90,90,90,0.38,0.44444444439999997,0.9681923619,5.64,7.46,1.17,2.28,0.9616652224
4068,4068,4068,SmScO3,Sm,Sc,1,not balanced,not balanced,1.24,0.75,orthorhombic,-3.76,-0.006,0,12.664,4.491,5.511,5.778,7.954,90,90,90,5.249,0.5555555556,0.8720983634999999,5.64,6.54,1.17,1.36,0.8682613498999999
4070,4070,4070,Sm2O3,Sm,Sm,0,not balanced,not balanced,1.24,0.96,cubic,-2.766,0.935,0,16.964,1.391,4.394,4.394,4.394,90,90,90,0.92,0.7111111111,0.7928166941,5.64,5.64,1.17,1.17,0.7910008061
4079,4079,4079,SmTlO3,Sm,Tl,0,not balanced,not balanced,1.24,1.2,orthorhombic,-2.247,0.072,0,14.526,1.257,5.684,6.043,8.458,90,90,90,0.884,0.8888888889,0.7181986523,5.64,6.108,1.17,1.62,0.7179853471
4080,4080,4080,SmTmO3,Sm,Tm,0,not balanced,not balanced,1.24,0.96,cubic,-3.181,0.635,0,14.864,1.999,4.204,4.204,4.204,90,90,90,4.65,0.7111111111,0.7928166941,5.64,6.184,1.17,1.25,0.7910008061
4082,4082,4082,SmVO3,Sm,V,1,2,4,1.32,0.58,orthorhombic,-3.223,-0.057,0.4,11.864,1.105,5.398,5.695,7.718,90,90,90,4.238,0.4296296296,0.9782254434000001,5.64,6.74,1.17,1.63,0.9713790125
4084,4084,4084,SmYO3,Sm,Y,0,not balanced,not balanced,1.24,0.9,cubic,-3.003,0.752,0,15.62,1.744,4.275,4.275,4.275,90,90,90,2.084,0.6666666667,0.8139584726000001,5.64,6.38,1.17,1.22,0.8116356097
4094,4094,4094,SnBaO3,Sn,Ba,0,not balanced,not balanced,0.81,1.35,orthorhombic,-2.182,0.26,-,18.505,1.594,5.752,5.877,10.949,90,90,90,-6.743,1.0,0.5656854249000001,7.343999999999999,5.212000000000001,1.96,0.89,0.5682567223
4097,4097,4097,SnCaO3,Sn,Ca,0,not balanced,not balanced,0.81,1.0,orthorhombic,-2.297,0.249,-,14.104,0.878,5.618,5.631,8.916,90,90,90,-,0.7407407407,0.6499364457,7.343999999999999,6.1129999999999995,1.96,1,0.6511274942999999
4102,4102,4102,SnCsO3,Sn,Cs,0,not balanced,not balanced,0.81,1.67,orthorhombic,-1.362,0.324,-,20.745,0.22,5.965,6.918,10.053,90,90,90,-1.696,1.2370370370000001,0.5057452475,7.343999999999999,3.8939999999999997,1.96,0.79,0.5090247513
4111,4111,4111,SnHfO3,Sn,Hf,0,2,4,0.81,0.71,orthorhombic,-2.783,0.135,0,13.857,2.398,5.797,5.821,8.214,90,90,90,5.278,0.5259259259000001,0.7414323531,7.343999999999999,6.65,1.96,1.3,0.7406189509000001
4129,4129,4129,SnPaO3,Sn,Pa,0,element not in BV,element not in BV,0.81,0.91,orthorhombic,-2.384,0.09,0.2,16.177,2.036,5.929,6.329,8.621,90,90,90,3.83,0.6740740741,0.6758188705,7.343999999999999,5.89,1.96,1.5,0.676496098
4135,4135,4135,SnPuO3,Sn,Pu,0,element not in BV,element not in BV,0.81,0.83,orthorhombic,-2.505,0.205,0.8,15.417,0.586,5.843,6.202,8.51,90,90,90,-,0.6148148148,0.700619563,7.343999999999999,6.06,1.96,1.28,0.7007650163
4142,4142,4142,SnSiO3,Sn,Si,0,2,4,0.81,0.4,tetragonal,-2.097,0.362,-,11.247,0.865,3.477,3.477,4.652,90,90,90,5.029,0.2962962963,0.8727717985,7.343999999999999,8.151,1.96,1.9,0.8681699925
4144,4144,4144,Sn2O3,Sn,Sn,0,not balanced,not balanced,0.81,0.69,orthorhombic,-1.6,0.187,-,13.411,1.158,5.682,5.776,8.173,90,90,90,3.443,0.5111111111,0.7487012976999999,7.343999999999999,7.343999999999999,1.96,1.96,0.7477062136
4145,4145,4145,SnSrO3,Sn,Sr,0,not balanced,not balanced,0.81,1.18,orthorhombic,-2.223,0.273,-,16.198,1.174,5.743,5.798,9.73,90,90,90,-6.916,0.8740740740999999,0.603695908,7.343999999999999,5.695,1.96,0.95,0.6056999947
4150,4150,4150,SnThO3,Sn,Th,0,2,4,0.81,0.94,cubic,-2.51,0.647,0,19.05,0.645,4.567,4.567,4.567,90,90,90,3.095,0.6962962963,0.6669653482,7.343999999999999,6.08,1.96,1.3,0.6678230710999999
4151,4151,4151,SnTiO3,Sn,Ti,0,2,4,0.81,0.61,tetragonal,-2.488,0.078,0,12.534,0.744,3.867,3.867,4.192,90,90,90,4.657,0.4518518519,0.7792605344,7.343999999999999,6.82,1.96,1.54,0.7774656648999999
4160,4160,4160,SnZrO3,Sn,Zr,0,2,4,0.81,0.72,tetragonal,-2.627,0.167,0,14.31,1.659,4.051,4.051,4.359,90,90,90,4.877,0.5333333333,0.7378505543,7.343999999999999,6.84,1.96,1.33,0.7371254653
4174,4174,4174,SrCrO3,Sr,Cr,0,2,4,1.44,0.55,orthorhombic,-2.561,0.041,0.4,11.412,0.777,5.457,5.457,7.664,90,90,90,1.791,0.40740740740000003,1.038330484,5.695,6.766,0.95,1.66,1.0298375684999999
4183,4183,4183,SrGeO3,Sr,Ge,0,2,4,1.44,0.53,cubic,-2.434,0.143,-,11.292,0.308,3.836,3.836,3.836,90,90,90,4.097,0.39259259259999996,1.0493765529,5.695,7.899,0.95,2.01,1.0405094604
4184,4184,4184,SrHfO3,Sr,Hf,1,2,4,1.44,0.71,orthorhombic,-3.653,0,0,13.589,4.43,5.751,5.792,8.159,90,90,90,6.856,0.5259259259000001,0.9576834560999999,5.695,6.65,0.95,1.3,0.9517456202
4200,4200,4200,SrNpO3,Sr,Np,0,element not in BV,element not in BV,1.44,0.86,orthorhombic,-3.418,-0.014,0.6,16.005,2.6,6.008,6.182,8.619,90,90,90,-,0.637037037,0.8926823165000001,5.695,6.19,0.95,1.36,0.8885766631
4202,4202,4202,SrPaO3,Sr,Pa,0,element not in BV,element not in BV,1.44,0.91,orthorhombic,-3.18,-0.144,0.2,16.648,2.529,6.087,6.268,8.727,90,90,90,5.517,0.6740740741,0.8729327077,5.695,5.89,0.95,1.5,0.869343402
4203,4203,4203,SrPbO3,Sr,Pb,1,2,4,1.44,0.78,orthorhombic,-1.995,-0.043,-,14.902,1.042,5.881,6.041,8.389,90,90,90,1.78,0.5777777778000001,0.9262102908,5.695,7.416,0.95,2.33,0.9211849809999999
4204,4204,4204,SrPdO3,Sr,Pd,0,2,4,1.44,0.62,orthorhombic,-1.636,-0.058,-,12.586,0.299,5.588,5.683,7.927,90,90,90,0.177,0.4592592593,1.0014354921,5.695,8.34,0.95,2.2,0.994150128
4207,4207,4207,SrPtO3,Sr,Pt,0,element not in BV,element not in BV,1.44,0.67,orthorhombic,-1.708,-0.013,0,12.705,0.616,5.595,5.719,7.942,90,90,90,0.713,0.49629629630000005,0.9766474849,5.695,9.0,0.95,2.28,0.9701368399
4208,4208,4208,SrPuO3,Sr,Pu,1,element not in BV,element not in BV,1.44,0.83,orthorhombic,-3.33,-0.179,0.8,15.748,1.949,5.979,6.147,8.57,90,90,90,3.783,0.6148148148,0.9049669356000001,5.695,6.06,0.95,1.28,0.9005306092
4215,4215,4215,SrSiO3,Sr,Si,0,2,4,1.44,0.4,tetragonal,-2.989,0.287,-,11.198,2.148,3.465,3.465,4.662,90,90,90,6.066,0.2962962963,1.1273302397,5.695,8.151,0.95,1.9,1.1156573659
4217,4217,4217,SrSnO3,Sr,Sn,1,2,4,1.44,0.69,orthorhombic,-2.495,-0.042,-,13.439,2.116,5.733,5.766,8.131,90,90,90,3.937,0.5111111111,0.9670725095999999,5.695,7.343999999999999,0.95,1.96,0.9608532338
4222,4222,4222,SrTeO3,Sr,Te,0,2,4,1.44,0.97,rhombohedral,-2.018,0.193,-,14.971,0.441,5.926,5.926,5.926,60.8,60.8,60.8,3.152,0.7185185184999999,0.8503568618999999,5.695,9.009,0.95,2.1,0.8473347083
4223,4223,4223,SrThO3,Sr,Th,0,2,4,1.44,0.94,orthorhombic,-3.649,0.071,0,17.178,4.252,6.145,6.331,8.831,90,90,90,5.721,0.6962962963,0.8614969081,5.695,6.08,0.95,1.3,0.8581979737000001
4224,4224,4224,SrTiO3,Sr,Ti,1,2,4,1.44,0.61,rhombohedral,-3.354,-0.046,0,12.003,2.009,5.533,5.533,5.533,60.1,60.1,60.1,5.504,0.4518518519,1.0065448569,5.695,6.82,0.95,1.54,0.9990961485
4227,4227,4227,SrUO3,Sr,U,1,2,4,1.44,0.89,orthorhombic,-3.487,-0.018,0.4,16.258,2.645,6.026,6.228,8.664,90,90,90,5.193,0.6592592593,0.8807267498000001,5.695,6.05,0.95,1.38,0.8769359207999999
4233,4233,4233,SrZrO3,Sr,Zr,1,2,4,1.44,0.72,orthorhombic,-3.502,-0.081,0,13.995,3.938,5.797,5.863,8.234,90,90,90,-,0.5333333333,0.9530569659,5.695,6.84,0.95,1.33,0.947256254
4234,4234,4234,TaAcO3,Ta,Ac,0,element not in BV,element not in BV,0.74,1.12,rhombohedral,-2.889,0.216,0,17.361,1.223,6.155,6.155,6.155,62.4,62.4,62.4,-6.053,0.8296296296,0.5983211225,7.89,5.17,1.5,1.1,0.6004795682
4235,4235,4235,TaAgO3,Ta,Ag,0,not balanced,not balanced,0.74,0.95,orthorhombic,-2.019,0.246,0,14.157,1.609,5.492,5.917,8.713,90,90,90,-11.587,0.7037037037,0.6425448577,7.89,7.5760000000000005,1.5,1.93,0.6439185156
4240,4240,4240,TaBaO3,Ta,Ba,0,not balanced,not balanced,0.74,1.35,orthorhombic,-2.791,0.359,-0.001,17.807,0.304,5.529,6.608,9.748,90,90,90,-3.556,1.0,0.5473530269,7.89,5.212000000000001,1.5,0.89,0.5502576406
4248,4248,4248,TaCsO3,Ta,Cs,0,not balanced,not balanced,0.74,1.67,rhombohedral,-2.037,0.808,0,23.8,1.439,7.021,7.021,7.021,58.8,58.8,58.8,-,1.2370370370000001,0.4893553552,7.89,3.8939999999999997,1.5,0.79,0.4929017954
4262,4262,4262,TaKO3,Ta,K,0,not balanced,not balanced,0.74,1.38,orthorhombic,-2.684,0.236,0,17.643,3.635,5.769,5.851,10.454,90,90,90,-21.785,1.0222222222,0.5413381585,7.89,4.341,1.5,0.82,0.5443196085
4264,4264,4264,TaLiO3,Ta,Li,0,not balanced,not balanced,0.74,0.76,orthorhombic,-2.828,0.138,0,9.486,2.991,4.748,5.105,7.828,90,90,90,-2.44,0.5629629629999999,0.7004043472,7.89,5.392,1.5,0.98,0.7005594962
4269,4269,4269,TaNaO3,Ta,Na,0,not balanced,not balanced,0.74,1.02,orthorhombic,-2.633,0.298,0,12.859,2.958,5.468,5.632,8.351,90,90,90,-11.349,0.7555555556,0.6235667395000001,7.89,5.138999999999999,1.5,0.93,0.6252927734
4273,4273,4273,TaNpO3,Ta,Np,0,element not in BV,element not in BV,0.74,0.86,rhombohedral,-2.79,0.313,0.8,15.29,0.55,5.749,5.749,5.749,66.4,66.4,66.4,-0.811,0.637037037,0.6687118428000001,7.89,6.19,1.5,1.36,0.6695612884000001
4281,4281,4281,TaPuO3,Ta,Pu,0,element not in BV,element not in BV,0.74,0.83,rhombohedral,-2.83,0.301,1,15.116,0.779,5.716,5.716,5.716,66.7,66.7,66.7,-8.643,0.6148148148,0.6779142994,7.89,6.06,1.5,1.28,0.6785688393000001
4282,4282,4282,TaRbO3,Ta,Rb,0,not balanced,not balanced,0.74,1.52,orthorhombic,-2.689,0.183,0,19.597,3.593,5.93,5.984,11.045,90,90,90,-14.916,1.1259259259,0.5149314191,7.89,4.177,1.5,0.82,0.5182220931
4291,4291,4291,TaSrO3,Ta,Sr,0,not balanced,not balanced,0.74,1.18,orthorhombic,-2.801,0.365,0,15.651,0.31,5.577,6.314,8.889,90,90,90,-17.169,0.8740740740999999,0.5841316888,7.89,5.695,1.5,0.95,0.5865149270000001
4298,4298,4298,TaTlO3,Ta,Tl,0,not balanced,not balanced,0.74,1.2,orthorhombic,-2.274,0.183,0,18.318,2.48,5.884,6.333,9.831,90,90,90,-7.196,0.8888888889,0.5795502638000001,7.89,6.108,1.5,1.62,0.5820032736999999
4380,4380,4380,TcAcO3,Tc,Ac,0,element not in BV,element not in BV,0.6,1.12,rhombohedral,-2.235,0.32,0.4,16.243,0.516,5.908,5.908,5.908,65.2,65.2,65.2,-6.497,0.8296296296,0.5582421957,7.28,5.17,1.9,1.1,0.5611958581000001
4389,4389,4389,TcCaO3,Tc,Ca,0,element not in BV,element not in BV,0.6,1.0,rhombohedral,-2.037,0.285,0.6,14.506,0.538,6.06,6.06,6.06,56.6,56.6,56.6,-,0.7407407407,0.5867481801,7.28,6.1129999999999995,1.9,1,0.589255651
4391,4391,4391,TcCeO3,Tc,Ce,0,element not in BV,element not in BV,0.6,0.94,rhombohedral,-2.14,0.386,0.4,15.498,0.354,5.933,5.933,5.933,62.2,62.2,62.2,-6.743,0.6962962963,0.6021214949,7.28,5.54,1.9,1.12,0.6043647702
4403,4403,4403,TcHfO3,Tc,Hf,0,element not in BV,element not in BV,0.6,0.71,cubic,-1.925,0.888,1,13.507,0.925,4.072,4.072,4.072,90,90,90,1.949,0.5259259259000001,0.6693486521,7.28,6.65,1.9,1.3,0.6702433945
4409,4409,4409,TcLaO3,Tc,La,0,element not in BV,element not in BV,0.6,1.03,rhombohedral,-2.237,0.384,0.4,15.148,0.323,5.756,5.756,5.756,65.7,65.7,65.7,-6.403,0.762962963,0.5793521947,7.28,5.58,1.9,1.1,0.5819808899000001
4436,4436,4436,TcSnO3,Tc,Sn,0,element not in BV,element not in BV,0.6,0.69,cubic,-0.756,0.927,1,13.115,0.571,4.033,4.033,4.033,90,90,90,2.883,0.5111111111,0.6759108937999999,7.28,7.343999999999999,1.9,1.96,0.6766572069
4443,4443,4443,TcTiO3,Tc,Ti,0,element not in BV,element not in BV,0.6,0.71,cubic,-1.681,0.775,1,11.572,0.562,3.868,3.868,3.868,90,90,90,1.36,0.5259259259000001,0.6693486521,7.28,6.82,1.9,1.54,0.6702433945
4452,4452,4452,TcZrO3,Tc,Zr,0,element not in BV,element not in BV,0.6,0.72,cubic,-1.736,0.954,1,14.06,0.841,4.127,4.127,4.127,90,90,90,3.573,0.5333333333,0.6661150836999999,7.28,6.84,1.9,1.33,0.667081869
4459,4459,4459,TeBaO3,Te,Ba,0,not balanced,not balanced,0.77,1.35,orthorhombic,-2.151,0.034,-,19.713,3.553,6.303,6.869,9.105,90,90,90,-11.292,1.0,0.5552097689,9.009,5.212000000000001,2.1,0.89,0.5579715328
4467,4467,4467,TeCsO3,Te,Cs,0,not balanced,not balanced,0.77,1.67,orthorhombic,-1.388,0.176,-,23.232,0.302,6.235,6.401,11.642,90,90,90,-11.316,1.2370370370000001,0.4963795947,9.009,3.8939999999999997,2.1,0.79,0.49981163359999997
4477,4477,4477,TeHgO3,Te,Hg,0,not balanced,not balanced,0.77,1.11,orthorhombic,-0.966,0.014,-,15.598,2.147,6.005,6.232,8.336,90,90,90,-6.062,0.8222222222,0.6093765757,9.009,10.437000000000001,2.1,2,0.6113233925
4494,4494,4494,TePaO3,Te,Pa,0,element not in BV,element not in BV,0.77,0.91,orthorhombic,-2.03,0.219,0,17.509,0.335,5.795,6.075,9.946,90,90,90,2.508,0.6740740741,0.6633037062,9.009,5.89,2.1,1.5,0.6642518248
4495,4495,4495,TePbO3,Te,Pb,0,2,4,0.97,0.78,orthorhombic,-1.353,0.022,-,16.626,1.71,6.24,6.604,8.069,90,90,90,0.913,0.5777777778000001,0.7701820340000001,9.009,7.416,2.1,2.33,0.7687353539
4501,4501,4501,TeRbO3,Te,Rb,0,not balanced,not balanced,0.77,1.52,orthorhombic,-1.372,0.101,-,20.896,0.232,6.066,6.331,10.882,90,90,90,-12.686,1.1259259259,0.5223227790999999,9.009,4.177,2.1,0.82,0.5254868888
4510,4510,4510,TeSrO3,Te,Sr,0,not balanced,not balanced,0.77,1.18,orthorhombic,-2.2,0.01,-,17.044,3.492,5.956,6.606,8.664,90,90,90,-10.574,0.8740740740999999,0.5925163542,9.009,5.695,2.1,0.95,0.5947370989
4532,4532,4532,ThBaO3,Th,Ba,0,4,2,1.21,1.35,orthorhombic,-3.345,0.275,0,19.059,2.709,6.799,6.829,8.21,90,90,90,-2.473,1.0,0.6704419851,6.08,5.212000000000001,1.3,0.89,0.6711086178
4533,4533,4533,ThBeO3,Th,Be,0,4,2,1.21,0.45,orthorhombic,-3.359,0.369,0,9.908,3.063,5.182,5.221,7.325,90,90,90,5.796,0.3333333333,1.0056629777,6.08,9.322000000000001,1.3,1.57,0.9975938913
4535,4535,4535,ThCaO3,Th,Ca,0,4,2,1.21,1.0,cubic,-2.698,1.122,0,14.304,0.815,4.151,4.151,4.151,90,90,90,-,0.7407407407,0.7702950467,6.08,6.1129999999999995,1.3,1,0.7689786245
4538,4538,4538,ThCoO3,Th,Co,0,4,2,1.21,0.75,orthorhombic,-2.947,0.093,0.6,12.397,1.864,5.409,5.933,7.727,90,90,90,3.147,0.5555555556,0.8619968379999999,6.08,7.86,1.3,1.88,0.8583947437
4539,4539,4539,ThCrO3,Th,Cr,0,4,2,1.21,0.8,orthorhombic,-3.282,0.088,0.8,13.172,2.02,5.486,6.329,7.588,90,90,90,4.11,0.5925925926,0.8419503999,6.08,6.766,1.3,1.66,0.8388857721999999
4558,4558,4558,ThMgO3,Th,Mg,0,4,2,1.21,0.72,orthorhombic,-3.599,0.122,0,12.347,5.339,5.46,5.794,7.806,90,90,90,5.269,0.5333333333,0.8744895457999999,6.08,7.646,1.3,1.31,0.8705418390999999
4564,4564,4564,ThNiO3,Th,Ni,0,4,2,1.21,0.69,orthorhombic,-2.942,0.096,0.4,12.128,3.389,5.38,5.846,7.711,90,90,90,4.005,0.5111111111,0.8873496862000001,6.08,7.635,1.3,1.91,0.883037655
4593,4593,4593,ThVO3,Th,V,0,4,2,1.21,0.79,orthorhombic,-3.392,0.055,0.6,12.961,2.332,5.476,6.015,7.869,90,90,90,3.91,0.5851851852000001,0.8458847476000001,6.08,6.74,1.3,1.63,0.8427163009
4599,4599,4599,TiAcO3,Ti,Ac,0,element not in BV,element not in BV,0.74,1.12,rhombohedral,-3.156,0.287,0.2,16.959,0.598,6.304,6.304,6.304,58.1,58.1,58.1,-7.753,0.8296296296,0.5983211225,6.82,5.17,1.54,1.1,0.6004795682
4605,4605,4605,TiBaO3,Ti,Ba,0,not balanced,not balanced,0.74,1.35,orthorhombic,-3.152,0.135,0,17.499,2.986,5.85,5.95,10.054,90,90,90,-13.843,1.0,0.5473530269,6.82,5.212000000000001,1.54,0.89,0.5502576406
4608,4608,4608,TiCaO3,Ti,Ca,0,not balanced,not balanced,0.74,1.0,orthorhombic,-3.201,0.167,0,13.209,2.645,5.42,5.54,8.799,90,90,90,-,0.7407407407,0.6288736905,6.82,6.1129999999999995,1.54,1,0.6305035466
4609,4609,4609,TiCdO3,Ti,Cd,0,not balanced,not balanced,0.74,0.95,orthorhombic,-2.313,0.168,0,12.529,2.417,5.395,5.506,8.436,90,90,90,-7.258,0.7037037037,0.6425448577,6.82,8.993,1.54,1.69,0.6439185156
4610,4610,4610,TiCeO3,Ti,Ce,0,2,4,0.86,0.87,rhombohedral,-3.075,0.288,0.2,15.697,0.625,6.121,6.121,6.121,58.6,58.6,58.6,-7.58,0.6444444443999999,0.7039216155,6.82,5.54,1.54,1.12,0.7039917733
4623,4623,4623,TiHgO3,Ti,Hg,0,not balanced,not balanced,0.74,1.11,orthorhombic,-1.975,0.152,0,13.864,2.063,5.301,5.832,8.969,90,90,90,-8.241,0.8222222222,0.6007533222,6.82,10.437000000000001,1.54,2,0.602871917
4641,4641,4641,TiPbO3,Ti,Pb,0,2,4,0.86,0.78,orthorhombic,-2.367,0.15,0,15.451,1.808,5.589,5.774,9.576,90,90,90,0.001,0.5777777778000001,0.7336647824,6.82,7.416,1.54,2.33,0.7330556539
4646,4646,4646,TiPuO3,Ti,Pu,0,element not in BV,element not in BV,0.74,0.83,orthorhombic,-3.178,0.26,1.2,13.728,0.39,5.652,5.906,8.224,90,90,90,-,0.6148148148,0.6779142994,6.82,6.06,1.54,1.28,0.6785688393000001
4655,4655,4655,TiSnO3,Ti,Sn,0,2,4,0.86,0.69,orthorhombic,-2.316,0.25,0,14.526,1.051,5.463,5.791,9.182,90,90,90,1.902,0.5111111111,0.7660323462999999,6.82,7.343999999999999,1.54,1.96,0.7646226438
4656,4656,4656,TiSrO3,Ti,Sr,0,not balanced,not balanced,0.74,1.18,orthorhombic,-3.182,0.171,0.001,15.27,2.843,5.607,5.726,9.512,90,90,90,-11.834,0.8740740740999999,0.5841316888,6.82,5.695,1.54,0.95,0.5865149270000001
