,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
191,191,191,AlPrO3,Al,Pr,0,3,3,0.54,0.99,orthorhombic,-3.213,0.286,0,13.347,2.935,5.529,5.537,8.72,90,90,90,-7.082,0.7333333333,0.5711247079,5.986000000000001,5.46,1.61,1.13,0.5739695211
193,193,193,AlPuO3,Al,Pu,0,element not in BV,element not in BV,0.54,0.83,orthorhombic,-3.306,0.216,1,13.362,1.93,5.412,5.435,9.086,90,90,90,-2.763,0.6148148148,0.6130421175999999,5.986000000000001,6.06,1.61,1.28,0.6151511908
201,201,201,AlSmO3,Al,Sm,0,3,3,0.54,0.96,orthorhombic,-3.267,0.27,0,12.728,3.072,5.45,5.462,8.551,90,90,90,-6.818,0.7111111111,0.5785419118999999,5.986000000000001,5.64,1.61,1.17,0.5812657439
203,203,203,AlSrO3,Al,Sr,0,not balanced,not balanced,0.54,1.18,orthorhombic,-2.765,0.194,-,13.698,0.445,5.259,5.926,8.791,90,90,90,-10.222,0.8740740740999999,0.5282339195,5.986000000000001,5.695,1.61,0.95,0.5317004479
210,210,210,AlTlO3,Al,Tl,0,3,3,0.54,0.89,orthorhombic,-1.911,0.19,-,12.152,0.638,5.285,5.41,8.5,90,90,90,-6.702,0.6592592593,0.5966213466,5.986000000000001,6.108,1.61,1.62,0.5990336924
211,211,211,AlTmO3,Al,Tm,0,3,3,0.54,0.88,rhombohedral,-3.378,0.237,0,12.404,3.756,5.828,5.828,5.828,55.1,55.1,55.1,-6.024,0.6518518519,0.5992967787,5.986000000000001,6.184,1.61,1.25,0.6016610331000001
213,213,213,AlVO3,Al,V,0,3,3,0.54,0.64,orthorhombic,-2.799,0.149,0.4,9.609,1.47,5.004,5.03,7.636,90,90,90,-0.475,0.47407407409999996,0.6715737770999999,5.986000000000001,6.74,1.61,1.63,0.6724446840999999
215,215,215,AlYO3,Al,Y,0,3,3,0.54,0.9,rhombohedral,-3.324,0.236,0,13.18,3.81,6.003,6.003,6.003,54.1,54.1,54.1,-6.49,0.6666666667,0.5939696962,5.986000000000001,6.38,1.61,1.22,0.5964291979999999
219,219,219,AsAcO3,As,Ac,0,element not in BV,element not in BV,0.52,1.12,orthorhombic,-2.622,-0.109,0,16.601,2.97,5.879,6.527,8.653,90,90,90,-2.465,0.8296296296,0.5353399517,9.81,5.17,2.18,1.1,0.5387480238
224,224,224,AsBO3,As,B,0,3,3,0.58,0.27,cubic,-0.852,1.183,-,7.706,0.923,3.377,3.377,3.377,90,90,90,2.629,0.2,0.8424173381000001,9.81,8.298,2.18,2.04,0.8383661238
