,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor,A rs,A rp,A rd,B rs,B rp,B rd,B EA,B s total,B p total,B d total,B f total
37,37,37,37,37,AcNdO3,Ac,Nd,0,element not in BV,element not in BV,1.12,0.98,cubic,-3.029,0.571,0,18.259,1.828,4.503,4.503,4.503,90,90,90,4.679,0.7259259259,0.7495938839,5.17,5.53,1.1,1.14,0.7495938839,,,,,,,,12,24,20,3
38,38,38,38,38,AcNiO3,Ac,Ni,0,element not in BV,element not in BV,1.12,0.59,orthorhombic,-2.365,-0.077,0.2,11.833,0,5.505,5.522,7.786,90,90,90,1.575,0.437037037,0.9002854379,5.17,7.635,1.1,1.91,0.9002854379,,,,0.96,1.22,0.195,1.156,8,12,8,0
39,39,39,39,39,AcNpO3,Ac,Np,0,element not in BV,element not in BV,1.12,0.86,cubic,-3.018,0.512,0.794,18.186,0,4.497,4.497,4.497,90,90,90,4.396,0.637037037,0.7902958143000001,5.17,6.19,1.1,1.36,0.7902958143000001,,,,,,,,14,30,31,17
40,40,40,40,40,AcOsO3,Ac,Os,0,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.146,0.167,0.109,13.292,0,5.463,6.091,7.989,90,90,90,2.322,0.4222222222,0.9096634112,5.17,8.7,1.1,2.2,0.9096634112,,,,1.17,1.48,0.5429999999999999,1.1,12,24,25,14
41,41,41,41,41,AcPaO3,Ac,Pa,0,element not in BV,element not in BV,1.12,0.91,cubic,-2.693,0.491,0.241,18.517,0,4.524,4.524,4.524,90,90,90,4.095,0.6740740741,0.7728113936,5.17,5.89,1.1,1.5,0.7728113936,,,,,,,,14,30,32,14
42,42,42,42,42,AcPbO3,Ac,Pb,0,element not in BV,element not in BV,1.12,0.99,orthorhombic,-2.369,0.038,0,16.738,0,6.034,6.377,8.701,90,90,90,1.255,0.7333333333,0.7463904912999999,5.17,7.416,1.1,2.33,0.7463904912999999,,,,0.96,1.13,0.45,0.364,12,25,30,14
43,43,43,43,43,AcPdO3,Ac,Pd,0,element not in BV,element not in BV,1.12,0.75,orthorhombic,-2.171,-0.122,0,13.678,0,5.715,5.924,8.081,90,90,90,1.499,0.5555555556,0.8316922617,5.17,8.34,1.1,2.2,0.8316922617,,,,1.08,1.37,0.4,0.562,8,18,20,0
44,44,44,44,44,AcPmO3,Ac,Pm,0,element not in BV,element not in BV,1.12,0.97,cubic,-3.111,0.518,0,17.814,2.014,4.466,4.466,4.466,90,90,90,4.845,0.7185185184999999,0.752824892,5.17,5.553999999999999,1.1,1.13,0.752824892,,,,,,,,12,24,20,4
45,45,45,45,45,AcPrO3,Ac,Pr,0,element not in BV,element not in BV,1.12,0.92,cubic,-2.953,0.625,0,18.704,1.649,4.539,4.539,4.539,90,90,90,4.449,0.6814814815000001,0.7694069381,5.17,5.46,1.1,1.13,0.7694069381,,,,,,,0.962,12,24,21,1
46,46,46,46,46,AcPtO3,Ac,Pt,0,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.101,0.037,0,14.009,0,5.811,6.177,7.805,90,90,90,1.204,0.4962962963000001,0.8646305690999999,5.17,9.0,1.1,2.28,0.8646305690999999,,,,1.24,1.46,0.51,2.128,12,24,27,14
47,47,47,47,47,AcPuO3,Ac,Pu,0,element not in BV,element not in BV,1.12,0.83,cubic,-3.005,0.602,0.942,17.512,0,4.441,4.441,4.441,90,90,90,3.324,0.6148148148,0.8011714447,5.17,6.06,1.1,1.28,0.8011714447,,,,,,,,14,30,31,18
