Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
CuNiO3,Cu,Ni,FALSE,2,4,0.73,0.48,cubic,-0.121,0.698,0.558,9.833,0,3.663,3.663,3.663,90,90,90,-2.679,O,1.385,0.801893213
CuNpO3,Cu,Np,FALSE,element not in BV,element not in BV,0.68,0.86,cubic,-1.931,0.618,0.389,15.268,0,4.242,4.242,4.242,90,90,90,2.687,O,1.385,0.6504122508
CuOsO3,Cu,Os,FALSE,element not in BV,element not in BV,0.68,0.57,rhombohedral,-1,0.045,0.001,10.191,0,5.277,5.277,5.277,59.1,59.1,59.1,2.299,O,1.385,0.7468928405
CuPaO3,Cu,Pa,FALSE,element not in BV,element not in BV,0.68,0.91,rhombohedral,-2.425,-0.243,0,13.659,2.633,5.994,5.994,5.994,55.6,55.6,55.6,4.128,O,1.385,0.6362420493
CuPbO3,Cu,Pb,FALSE,not balanced,not balanced,0.68,0.99,rhombohedral,-0.827,0.164,-,12.845,0,5.834,5.834,5.834,56.3,56.3,56.3,-2.508,O,1.385,0.6148107382
CuPdO3,Cu,Pd,FALSE,not balanced,not balanced,0.68,0.75,cubic,0.086,0.699,-,11.833,0,3.897,3.897,3.897,90,90,90,-2.63,O,1.385,0.6839229523
CuPmO3,Cu,Pm,FALSE,element not in BV,element not in BV,0.68,0.97,rhombohedral,-1.98,0.224,0.4,14.195,0.366,6.115,6.115,6.115,54.8,54.8,54.8,-3.828,O,1.385,0.6200320608
CuPrO3,Cu,Pr,FALSE,not balanced,not balanced,0.68,0.92,rhombohedral,-1.938,0.234,0.4,14.773,0.342,6.179,6.179,6.179,55.1,55.1,55.1,-3.905,O,1.385,0.6334817801
CuPtO3,Cu,Pt,FALSE,element not in BV,element not in BV,0.68,0.67,cubic,-0.034,0.733,0.318,11.993,0,3.914,3.914,3.914,90,90,90,-0.639,O,1.385,0.7105476901
CuPuO3,Cu,Pu,FALSE,element not in BV,element not in BV,0.68,0.83,cubic,-1.756,0.523,0.601,15.125,0.801,4.229,4.229,4.229,90,90,90,0.726,O,1.385,0.6592214461
CuRbO3,Cu,Rb,FALSE,not balanced,not balanced,0.68,1.52,cubic,1.095,2.094,-,15.595,0,4.272,4.272,4.272,90,90,90,-14.336,O,1.385,0.5026421698
CuReO3,Cu,Re,FALSE,1,5,0.77,0.58,rhombohedral,-1.324,0.196,0,10.363,0,5.38,5.38,5.38,57.4,57.4,57.4,3.638,O,1.385,0.7754784292
CuRhO3,Cu,Rh,FALSE,2,4,0.73,0.6,cubic,-0.302,0.643,0.453,11.424,0,3.851,3.851,3.851,90,90,90,-0.321,O,1.385,0.7534160414
CuRuO3,Cu,Ru,FALSE,1,5,0.77,0.57,orthorhombic,-0.955,0.128,0.199,9.792,0,5.109,5.125,7.479,90,90,90,1.467,O,1.385,0.7794450708
CuSbO3,Cu,Sb,FALSE,1,5,0.77,0.6,rhombohedral,-1.305,0.03,-,11.001,0,5.447,5.447,5.447,58.4,58.4,58.4,2.079,O,1.385,0.7676650446
CuScO3,Cu,Sc,FALSE,not balanced,not balanced,0.68,0.75,cubic,-1.431,0.806,0.339,13.325,0,4.054,4.054,4.054,90,90,90,-3.057,O,1.385,0.6839229523
CuSiO3,Cu,Si,FALSE,not balanced,not balanced,0.68,0.4,cubic,-1.607,0.559,-,8.578,0,3.5,3.5,3.5,90,90,90,0.45,O,1.385,0.818025492
CuSmO3,Cu,Sm,FALSE,not balanced,not balanced,0.68,0.96,rhombohedral,-1.991,0.274,0.399,14.041,0.368,6.098,6.098,6.098,54.7,54.7,54.7,-3.935,O,1.385,0.6226761207
CuSnO3,Cu,Sn,FALSE,not balanced,not balanced,0.68,0.69,cubic,-0.828,0.666,-,12.973,0,4.018,4.018,4.018,90,90,90,-1.033,O,1.385,0.7036990377
CuSrO3,Cu,Sr,FALSE,not balanced,not balanced,0.68,1.18,orthorhombic,-1.409,0.209,-,13.148,0,5.85,6.267,7.173,90,90,90,-8.824,O,1.385,0.569269202
CuTaO3,Cu,Ta,FALSE,1,5,0.77,0.64,orthorhombic,-2.32,0.077,0,10.912,1.36,5.233,5.456,7.643,90,90,90,5.237,O,1.385,0.7525012906
CuTbO3,Cu,Tb,FALSE,not balanced,not balanced,0.68,0.84,rhombohedral,-1.918,0.224,0.399,13.473,0.366,6.037,6.037,6.037,54.3,54.3,54.3,-3.729,O,1.385,0.6562586531
CuTcO3,Cu,Tc,FALSE,element not in BV,element not in BV,0.68,0.6,rhombohedral,-1.295,0.056,0,10.239,0,5.382,5.382,5.382,56.9,56.9,56.9,2.996,O,1.385,0.7356047875
CuTeO3,Cu,Te,FALSE,2,4,0.73,0.97,rhombohedral,-0.951,0.151,-,11.749,0,5.602,5.602,5.602,57.6,57.6,57.6,1.048,O,1.385,0.6350449436
CuThO3,Cu,Th,FALSE,not balanced,not balanced,0.68,0.94,cubic,-1.922,0.943,-0.029,17.768,0,4.462,4.462,4.462,90,90,90,-1.294,O,1.385,0.6280324745
CuTiO3,Cu,Ti,FALSE,2,4,0.73,0.61,orthorhombic,-2.142,0.126,0.2,9.718,0.653,4.937,5.24,7.512,90,90,90,-0.66,O,1.385,0.7496395199
CuTlO3,Cu,Tl,FALSE,not balanced,not balanced,0.68,1.2,rhombohedral,-0.494,0.297,-,13.088,0,5.863,5.863,5.863,56.5,56.5,56.5,-4.277,O,1.385,0.5648647981
CuTmO3,Cu,Tm,FALSE,not balanced,not balanced,0.68,0.96,rhombohedral,-2.098,0.212,0.4,12.846,0.384,5.95,5.95,5.95,54.1,54.1,54.1,-4.013,O,1.385,0.6226761207
CuUO3,Cu,U,FALSE,1,5,0.77,0.76,rhombohedral,-2.609,0.011,0.2,13.29,1.769,5.912,5.912,5.912,56.1,56.1,56.1,3.288,O,1.385,0.7104033163
CuVO3,Cu,V,FALSE,1,5,0.77,0.54,orthorhombic,-1.737,0.111,0,9.48,0.343,4.949,5.134,7.463,90,90,90,1.779,O,1.385,0.7915922667
CuWO3,Cu,W,FALSE,1,5,0.77,0.62,rhombohedral,-1.739,0.217,-0.001,10.669,0,5.5,5.5,5.5,56,56,56,4.639,O,1.385,0.7600075379
CuYO3,Cu,Y,FALSE,not balanced,not balanced,0.68,0.9,rhombohedral,-2.041,0.266,0.401,13.364,0.37,6.027,6.027,6.027,54.1,54.1,54.1,-4.218,O,1.385,0.6390264784
CuYbO3,Cu,Yb,FALSE,not balanced,not balanced,0.68,0.95,orthorhombic,-1.595,0.275,-,11.075,0,5.663,5.665,6.903,90,90,90,-6.856,O,1.385,0.6253428279
CuZnO3,Cu,Zn,FALSE,not balanced,not balanced,0.68,0.74,cubic,-0.068,0.914,-,10.874,0,3.788,3.788,3.788,90,90,90,-4.296,O,1.385,0.6871414132
CuZrO3,Cu,Zr,FALSE,not balanced,not balanced,0.68,0.72,cubic,-1.845,0.657,0.202,14.063,0,4.127,4.127,4.127,90,90,90,-1.012,O,1.385,0.6936700728
