Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
SiPbO3,Si,Pb,FALSE,2,4,0.4,0.78,cubic,-0.367,2.036,-,14.624,0,4.182,4.182,4.182,90,90,90,-3.953,O,1.385,0.5829956602
SiPdO3,Si,Pd,FALSE,2,4,0.4,0.62,cubic,-0.132,1.972,-,11.917,0,3.906,3.906,3.906,90,90,90,-1.586,O,1.385,0.6295190047
SiPmO3,Si,Pm,FALSE,element not in BV,element not in BV,0.4,0.97,cubic,-1.176,2.045,0,16.774,0,4.377,4.377,4.377,90,90,90,-6.429,O,1.385,0.535959917
SiPrO3,Si,Pr,FALSE,not balanced,not balanced,0.4,0.92,cubic,-1.084,2.087,-0.133,17.594,0,4.447,4.447,4.447,90,90,90,-6.586,O,1.385,0.5475859455
SiPtO3,Si,Pt,FALSE,element not in BV,element not in BV,0.4,0.67,cubic,-0.143,1.938,0.001,12.257,0,3.943,3.943,3.943,90,90,90,-0.686,O,1.385,0.6142022406
SiPuO3,Si,Pu,FALSE,element not in BV,element not in BV,0.4,0.83,cubic,-1.702,1.498,0.799,16.238,0,4.33,4.33,4.33,90,90,90,2.643,O,1.385,0.5698354873
SiRbO3,Si,Rb,FALSE,not balanced,not balanced,0.4,1.52,cubic,0.933,3.416,-,15.411,0,4.255,4.255,4.255,90,90,90,-16.921,O,1.385,0.4344872993
SiReO3,Si,Re,FALSE,not balanced,not balanced,0.4,0.57,cubic,-0.889,1.468,0,11.886,0,3.902,3.902,3.902,90,90,90,1.991,O,1.385,0.645619235
SiRhO3,Si,Rh,FALSE,2,4,0.4,0.6,cubic,-0.39,1.765,0.012,11.664,0,3.878,3.878,3.878,90,90,90,0.272,O,1.385,0.6358617654
SiRuO3,Si,Ru,FALSE,2,4,0.4,0.62,cubic,-0.598,1.626,0.307,11.668,0,3.878,3.878,3.878,90,90,90,1.553,O,1.385,0.6295190047
SiSbO3,Si,Sb,FALSE,2,4,0.4,0.68,cubic,-0.814,1.556,-,13.242,0,4.046,4.046,4.046,90,90,90,2.04,O,1.385,0.6112278956
SiScO3,Si,Sc,FALSE,not balanced,not balanced,0.4,0.75,cubic,-1.573,1.736,0.003,13.057,0,4.027,4.027,4.027,90,90,90,-4.334,O,1.385,0.5911876367
Si2O3,Si,Si,FALSE,not balanced,not balanced,0.4,0.4,cubic,-1.763,1.003,-,8.977,1.921,3.554,3.554,3.554,90,90,90,5.683,O,1.385,0.7071067812
SiSmO3,Si,Sm,FALSE,not balanced,not balanced,0.4,0.96,cubic,-1.203,2.031,0,16.532,0,4.356,4.356,4.356,90,90,90,-6.368,O,1.385,0.5382454603
SiSnO3,Si,Sn,FALSE,2,4,0.4,0.69,cubic,-1.023,1.436,-,12.901,1.755,4.01,4.01,4.01,90,90,90,2.712,O,1.385,0.608282219
SiSrO3,Si,Sr,FALSE,not balanced,not balanced,0.4,1.18,cubic,-0.202,3.075,-,16.907,0,4.389,4.389,4.389,90,90,90,-10.947,O,1.385,0.4920801577
SiTaO3,Si,Ta,FALSE,not balanced,not balanced,0.4,0.68,cubic,-1.842,0.937,0.001,12.639,0,3.983,3.983,3.983,90,90,90,4.52,O,1.385,0.6112278956
SiTbO3,Si,Tb,FALSE,not balanced,not balanced,0.4,0.84,cubic,-1.193,1.97,0.009,15.745,0,4.286,4.286,4.286,90,90,90,-5.984,O,1.385,0.567274429
SiTcO3,Si,Tc,FALSE,element not in BV,element not in BV,0.4,0.6,cubic,-0.907,1.447,0.004,11.744,0,3.887,3.887,3.887,90,90,90,2.295,O,1.385,0.6358617654
SiTeO3,Si,Te,FALSE,2,4,0.4,0.97,cubic,-0.499,1.736,-,14.234,0,4.144,4.144,4.144,90,90,90,1.304,O,1.385,0.535959917
SiThO3,Si,Th,FALSE,not balanced,not balanced,0.4,0.94,cubic,-1.914,1.568,0,18.723,0,4.541,4.541,4.541,90,90,90,1.893,O,1.385,0.5428755288
SiTiO3,Si,Ti,FALSE,not balanced,not balanced,0.4,0.71,cubic,-1.964,1,0,11.403,1.725,3.849,3.849,3.849,90,90,90,1.685,O,1.385,0.6024752288
SiTlO3,Si,Tl,FALSE,not balanced,not balanced,0.4,1.2,cubic,0.036,2.226,-,14.425,0,4.163,4.163,4.163,90,90,90,-6.045,O,1.385,0.4882729611
SiTmO3,Si,Tm,FALSE,not balanced,not balanced,0.4,0.96,cubic,-1.474,1.911,0.21,14.951,0,4.213,4.213,4.213,90,90,90,-5.22,O,1.385,0.5382454603
SiUO3,Si,U,FALSE,not balanced,not balanced,0.4,0.85,cubic,-1.992,1.23,0.077,16.028,0,4.311,4.311,4.311,90,90,90,3.51,O,1.385,0.5647362883
SiVO3,Si,V,FALSE,2,4,0.4,0.58,cubic,-1.492,1.282,0.2,10.835,0,3.784,3.784,3.784,90,90,90,0.215,O,1.385,0.6423336409
SiWO3,Si,W,FALSE,2,4,0.4,0.66,cubic,-1.299,1.198,0.001,12.122,0,3.928,3.928,3.928,90,90,90,3.555,O,1.385,0.6172056745
SiYO3,Si,Y,FALSE,not balanced,not balanced,0.4,0.9,cubic,-1.338,2.022,0.21,15.758,0,4.287,4.287,4.287,90,90,90,-5.755,O,1.385,0.5523788203
SiYbO3,Si,Yb,FALSE,not balanced,not balanced,0.4,0.95,orthorhombic,-3.223,0.056,-,11.741,3.964,4.872,4.969,9.701,90,90,90,-8.896,O,1.385,0.5405505801
SiZnO3,Si,Zn,FALSE,not balanced,not balanced,0.4,0.74,cubic,-0.308,2.215,-,10.826,0,3.783,3.783,3.783,90,90,90,-6.175,O,1.385,0.5939696962
SiZrO3,Si,Zr,FALSE,not balanced,not balanced,0.4,0.72,cubic,-1.995,1.137,0,13.933,1.469,4.115,4.115,4.115,90,90,90,3.899,O,1.385,0.5996131137
SmAcO3,Sm,Ac,FALSE,element not in BV,element not in BV,1.24,1.12,cubic,-2.298,1.342,0,20.308,0,4.665,4.665,4.665,90,90,90,1.391,O,1.385,0.7409801599
SmAgO3,Sm,Ag,FALSE,not balanced,not balanced,1.24,0.95,orthorhombic,-1.924,0.039,0,13.064,0,5.524,6.009,7.871,90,90,90,-0.168,O,1.385,0.7949273236
SmAlO3,Sm,Al,TRUE,3,3,1.24,0.54,orthorhombic,-3.537,-0.054,0,10.494,4.871,5.288,5.305,7.481,90,90,90,6.413,O,1.385,0.9642365198
SmAsO3,Sm,As,FALSE,3,3,1.24,0.58,cubic,-2.008,0.639,0,12.948,0,4.015,4.015,4.015,90,90,90,2.469,O,1.385,0.9446082955
SmAuO3,Sm,Au,FALSE,element not in BV,element not in BV,1.24,0.93,cubic,-1.405,0.631,0,13.883,0,4.11,4.11,4.11,90,90,90,-0.273,O,1.385,0.8017949463
SmBO3,Sm,B,FALSE,not balanced,not balanced,1.24,0.27,cubic,-2.474,0.849,0,8.649,2.677,3.51,3.51,3.51,90,90,90,5.211,O,1.385,1.1215439883
SmBaO3,Sm,Ba,FALSE,not balanced,not balanced,1.24,1.35,orthorhombic,-2.733,0.296,0.112,19.204,0,6.032,6.058,10.51,90,90,90,-5.106,O,1.385,0.678667386
SmBeO3,Sm,Be,FALSE,not balanced,not balanced,1.24,0.45,tetragonal,-2.755,0.282,0.043,9.86,0,3.39,3.39,4.289,90,90,90,-0.59,O,1.385,1.0115287742
SmBiO3,Sm,Bi,FALSE,not balanced,not balanced,1.24,0.9,cubic,-1.648,0.94,0,16.659,0,4.367,4.367,4.367,90,90,90,1.195,O,1.385,0.8123217946
SmCaO3,Sm,Ca,FALSE,not balanced,not balanced,1.24,1,cubic,-2.27,0.872,0.2,14.23,0,4.144,4.144,4.144,90,90,90,-2.299,O,1.385,0.7782621806
SmCdO3,Sm,Cd,FALSE,not balanced,not balanced,1.24,0.95,cubic,-1.709,0.636,0,13.863,0,4.108,4.108,4.108,90,90,90,-0.615,O,1.385,0.7949273236
SmCeO3,Sm,Ce,FALSE,2,4,1.32,0.87,cubic,-2.444,1.167,0,18.747,0.779,4.543,4.543,4.543,90,90,90,-1.929,O,1.385,0.8482145646
SmCoO3,Sm,Co,TRUE,3,3,1.24,0.61,orthorhombic,-2.487,-0.009,0.4,11.162,0,5.289,5.546,7.61,90,90,90,2.931,O,1.385,0.9304036595
SmCrO3,Sm,Cr,TRUE,3,3,1.24,0.62,orthorhombic,-3.151,-0.06,0.6,11.543,2.441,5.364,5.595,7.691,90,90,90,4.538,O,1.385,0.9257632422
SmCsO3,Sm,Cs,FALSE,not balanced,not balanced,1.24,1.67,tetragonal,-1.808,0.607,0.006,17.472,0,3.385,3.385,7.623,90,90,90,-,O,1.385,0.6075794765
SmCuO3,Sm,Cu,FALSE,3,3,1.24,0.54,orthorhombic,-2.218,0.047,0,11.236,0,5.277,5.749,7.409,90,90,90,1.081,O,1.385,0.9642365198
SmDyO3,Sm,Dy,FALSE,not balanced,not balanced,1.24,0.99,cubic,-3.027,0.749,0,15.621,1.796,4.275,4.275,4.275,90,90,90,4.233,O,1.385,0.7815390739
SmErO3,Sm,Er,FALSE,not balanced,not balanced,1.24,0.89,cubic,-3.123,0.676,0,15.136,2.014,4.23,4.23,4.23,90,90,90,4.502,O,1.385,0.8158924398
SmEuO3,Sm,Eu,FALSE,not balanced,not balanced,1.24,1.06,cubic,-2.26,0.949,0.117,15.547,0,4.268,4.268,4.268,90,90,90,-1.703,O,1.385,0.7591637221
SmFeO3,Sm,Fe,TRUE,3,3,1.24,0.65,orthorhombic,-2.734,-0.03,1,11.7,1.151,5.383,5.638,7.71,90,90,90,3.624,O,1.385,0.9121156268
SmGaO3,Sm,Ga,FALSE,3,3,1.24,0.62,orthorhombic,-2.921,0.006,0,11.496,4.124,5.362,5.586,7.676,90,90,90,4.735,O,1.385,0.9257632422
SmGdO3,Sm,Gd,FALSE,not balanced,not balanced,1.24,0.94,cubic,-2.915,0.832,0,16.192,1.508,4.326,4.326,4.326,90,90,90,1.26,O,1.385,0.7983463659
SmGeO3,Sm,Ge,FALSE,2,4,1.32,0.53,orthorhombic,-2.531,0.17,0,12.471,0,5.442,5.821,7.874,90,90,90,3.064,O,1.385,0.9988114063
SmHfO3,Sm,Hf,FALSE,2,4,1.32,0.71,orthorhombic,-3.408,0.171,0.005,12.98,0,5.55,6.089,7.682,90,90,90,4.839,O,1.385,0.9129946745
SmHgO3,Sm,Hg,FALSE,not balanced,not balanced,1.24,1.11,cubic,-1.299,0.733,-0.001,14.826,0,4.201,4.201,4.201,90,90,90,-0.584,O,1.385,0.7439500203
SmHoO3,Sm,Ho,FALSE,not balanced,not balanced,1.24,0.9,cubic,-3.077,0.711,0,15.373,1.81,4.252,4.252,4.252,90,90,90,4.384,O,1.385,0.8123217946
SmInO3,Sm,In,TRUE,not balanced,not balanced,1.24,0.8,cubic,-2.231,0.541,0,13.327,1.604,4.054,4.054,4.054,90,90,90,3.031,O,1.385,0.8494989934
SmIrO3,Sm,Ir,FALSE,2,4,1.32,0.63,cubic,-1.741,0.589,0,12.509,0,3.969,3.969,3.969,90,90,90,-0.334,O,1.385,0.949242602
SmKO3,Sm,K,FALSE,not balanced,not balanced,1.24,1.38,orthorhombic,-2.137,0.291,0,17.217,1.596,6.325,6.401,8.505,90,90,90,-3.394,O,1.385,0.6713039062
SmLaO3,Sm,La,FALSE,not balanced,not balanced,1.24,1.03,cubic,-2.566,1.141,0,18.469,0.557,4.52,4.52,4.52,90,90,90,2.17,O,1.385,0.7685943274
SmLiO3,Sm,Li,FALSE,not balanced,not balanced,1.24,0.76,orthorhombic,-2.24,0.292,0.4,10.88,0,5.051,5.823,7.399,90,90,90,-0.931,O,1.385,0.8653404665
SmLuO3,Sm,Lu,FALSE,not balanced,not balanced,1.24,0.86,cubic,-3.26,0.572,0,14.456,1.986,4.166,4.166,4.166,90,90,90,4.842,O,1.385,0.8267952341
SmMgO3,Sm,Mg,FALSE,not balanced,not balanced,1.24,0.72,orthorhombic,-2.881,0.157,0.2,11.798,0,5.346,5.748,7.678,90,90,90,-0.964,O,1.385,0.8817839908
SmMnO3,Sm,Mn,TRUE,2,4,1.32,0.53,orthorhombic,-2.913,0.001,0.8,11.743,0,5.376,5.749,7.599,90,90,90,3.73,O,1.385,0.9988114063
SmMoO3,Sm,Mo,FALSE,2,4,1.32,0.65,orthorhombic,-2.637,0.204,0.591,12.69,0,5.47,5.883,7.887,90,90,90,2.336,O,1.385,0.9399134364
SmNaO3,Sm,Na,FALSE,not balanced,not balanced,1.24,1.02,cubic,-1.535,0.896,0.4,12.374,0,3.955,3.955,3.955,90,90,90,-2.28,O,1.385,0.7717901458
SmNbO3,Sm,Nb,FALSE,2,4,1.32,0.68,orthorhombic,-2.95,0.207,0.001,12.738,0,5.473,5.996,7.763,90,90,90,3.647,O,1.385,0.9262585197
SmNdO3,Sm,Nd,FALSE,not balanced,not balanced,1.24,0.98,cubic,-2.622,1.038,0,17.747,0.993,4.46,4.46,4.46,90,90,90,-,O,1.385,0.7848436789
SmNiO3,Sm,Ni,TRUE,3,3,1.24,0.6,orthorhombic,-2.356,-0.009,0.2,10.909,0,5.28,5.477,7.544,90,90,90,1.31,O,1.385,0.9350908315
SmNpO3,Sm,Np,FALSE,element not in BV,element not in BV,1.24,0.86,cubic,-2.694,0.897,0.791,17.25,0,4.418,4.418,4.418,90,90,90,3.32,O,1.385,0.8267952341
SmOsO3,Sm,Os,FALSE,element not in BV,element not in BV,1.24,0.57,cubic,-1.788,0.618,0.003,12.354,0,3.953,3.953,3.953,90,90,90,0.674,O,1.385,0.9494400515
SmPaO3,Sm,Pa,FALSE,element not in BV,element not in BV,1.24,0.91,cubic,-2.48,0.765,0.308,17.873,0,4.471,4.471,4.471,90,90,90,3.036,O,1.385,0.8087822661
SmPbO3,Sm,Pb,FALSE,2,4,1.32,0.78,cubic,-1.583,0.884,0,14.924,0,4.21,4.21,4.21,90,90,90,-,O,1.385,0.8834752162
SmPdO3,Sm,Pd,FALSE,2,4,1.32,0.62,orthorhombic,-2.166,-0.056,0.002,12.389,0,5.466,5.931,7.642,90,90,90,0.347,O,1.385,0.9539769791
SmPmO3,Sm,Pm,FALSE,element not in BV,element not in BV,1.24,0.97,cubic,-2.711,0.978,0,17.265,1.193,4.42,4.42,4.42,90,90,90,3.17,O,1.385,0.7881763485
SmPrO3,Sm,Pr,FALSE,2,4,1.32,0.85,cubic,-2.54,1.099,0,18.21,0.993,4.499,4.499,4.499,90,90,90,2.566,O,1.385,0.8558048515
SmPtO3,Sm,Pt,FALSE,element not in BV,element not in BV,1.24,0.67,cubic,-1.659,0.539,0,13.082,0,4.029,4.029,4.029,90,90,90,-0.082,O,1.385,0.9032385891
SmPuO3,Sm,Pu,FALSE,element not in BV,element not in BV,1.24,0.83,cubic,-2.735,0.932,0.928,16.641,0,4.366,4.366,4.366,90,90,90,2.548,O,1.385,0.8379933637
SmRbO3,Sm,Rb,FALSE,not balanced,not balanced,1.24,1.52,orthorhombic,-1.951,0.469,0.4,20.346,0,6.107,6.17,10.798,90,90,90,-3.016,O,1.385,0.6389519107
SmReO3,Sm,Re,FALSE,2,4,1.32,0.63,cubic,-2.001,0.686,0.165,12.43,0,3.961,3.961,3.961,90,90,90,0.946,O,1.385,0.949242602
SmRhO3,Sm,Rh,TRUE,2,4,1.32,0.6,orthorhombic,-2.37,-0.053,0,11.987,0.783,5.337,5.818,7.72,90,90,90,0.38,O,1.385,0.9635888378
SmRuO3,Sm,Ru,FALSE,2,4,1.32,0.62,orthorhombic,-2.371,0.049,0.199,11.958,0,5.295,5.864,7.702,90,90,90,1.228,O,1.385,0.9539769791
SmSbO3,Sm,Sb,FALSE,3,3,1.24,0.76,cubic,-1.855,0.86,0,15.066,0,4.223,4.223,4.223,90,90,90,1.586,O,1.385,0.8653404665
SmScO3,Sm,Sc,TRUE,not balanced,not balanced,1.24,0.75,orthorhombic,-3.76,-0.006,0,12.664,4.491,5.511,5.778,7.954,90,90,90,5.249,O,1.385,0.8693935834
SmSiO3,Sm,Si,FALSE,3,3,1.24,0.4,cubic,-2.675,0.558,0,10.394,0,3.732,3.732,3.732,90,90,90,4.676,O,1.385,1.0398629135
Sm2O3,Sm,Sm,FALSE,not balanced,not balanced,1.24,0.96,cubic,-2.766,0.935,0,16.964,1.391,4.394,4.394,4.394,90,90,90,0.92,O,1.385,0.7915374416
SmSnO3,Sm,Sn,FALSE,2,4,1.32,0.69,cubic,-2.114,0.694,0,14.015,0,4.123,4.123,4.123,90,90,90,2.518,O,1.385,0.9217946232
SmSrO3,Sm,Sr,FALSE,not balanced,not balanced,1.24,1.18,orthorhombic,-2.83,0.257,0.11,17.107,0,5.949,5.959,9.652,90,90,90,-2.965,O,1.385,0.7236472907
SmTaO3,Sm,Ta,FALSE,2,4,1.32,0.68,cubic,-2.778,0.505,0.002,12.941,0,4.015,4.015,4.015,90,90,90,3.702,O,1.385,0.9262585197
SmTbO3,Sm,Tb,FALSE,2,4,1.32,0.76,cubic,-2.842,0.789,0,15.898,1.608,4.3,4.3,4.3,90,90,90,2.172,O,1.385,0.8917127474
SmTcO3,Sm,Tc,FALSE,element not in BV,element not in BV,1.24,0.6,orthorhombic,-2.497,0.118,0.389,12.16,0,5.34,5.902,7.716,90,90,90,1.831,O,1.385,0.9350908315
SmTeO3,Sm,Te,FALSE,2,4,1.32,0.97,cubic,-1.542,0.955,0,15.305,0,4.246,4.246,4.246,90,90,90,1.216,O,1.385,0.812196961
SmThO3,Sm,Th,FALSE,2,4,1.32,0.94,cubic,-2.877,0.899,0.084,18.905,0,4.555,4.555,4.555,90,90,90,2.673,O,1.385,0.8226769218
SmTiO3,Sm,Ti,TRUE,2,4,1.32,0.61,orthorhombic,-3.421,-0.009,0.2,11.906,0,5.398,5.7,7.738,90,90,90,5.05,O,1.385,0.9587588186
SmTlO3,Sm,Tl,FALSE,not balanced,not balanced,1.24,1.2,orthorhombic,-2.247,0.072,0,14.526,1.257,5.684,6.043,8.458,90,90,90,0.884,O,1.385,0.7180484722
SmTmO3,Sm,Tm,FALSE,not balanced,not balanced,1.24,0.96,cubic,-3.181,0.635,0,14.864,1.999,4.204,4.204,4.204,90,90,90,4.65,O,1.385,0.7915374416
SmUO3,Sm,U,FALSE,2,4,1.32,0.89,cubic,-2.301,1.269,0.581,22.751,0,4.845,4.845,4.845,90,90,90,-1.117,O,1.385,0.8407577332
SmVO3,Sm,V,TRUE,2,4,1.32,0.58,orthorhombic,-3.223,-0.057,0.4,11.864,1.105,5.398,5.695,7.718,90,90,90,4.238,O,1.385,0.9733963578
SmWO3,Sm,W,FALSE,2,4,1.32,0.66,cubic,-2.296,0.534,0.003,12.562,0,3.975,3.975,3.975,90,90,90,1.933,O,1.385,0.9353172827
SmYO3,Sm,Y,FALSE,not balanced,not balanced,1.24,0.9,cubic,-3.003,0.752,0,15.62,1.744,4.275,4.275,4.275,90,90,90,2.084,O,1.385,0.8123217946
SmYbO3,Sm,Yb,FALSE,not balanced,not balanced,1.24,0.95,cubic,-2.5,0.754,-0.158,13.968,0,4.118,4.118,4.118,90,90,90,-1.411,O,1.385,0.7949273236
SmZnO3,Sm,Zn,FALSE,not balanced,not balanced,1.24,0.74,orthorhombic,-2.402,0.108,0,11.701,0,5.327,5.784,7.595,90,90,90,0.146,O,1.385,0.8734848473
SmZrO3,Sm,Zr,FALSE,2,4,1.32,0.72,orthorhombic,-3.353,0.157,0.051,13.292,0,5.599,6.132,7.743,90,90,90,4.476,O,1.385,0.9086574077
SnAcO3,Sn,Ac,FALSE,element not in BV,element not in BV,0.81,1.12,cubic,-1.676,1.007,0.061,19.752,0,4.622,4.622,4.622,90,90,90,-3.151,O,1.385,0.6196005528
SnAgO3,Sn,Ag,FALSE,3,3,0.81,0.75,cubic,-0.343,0.935,-,13.233,0,4.045,4.045,4.045,90,90,90,-2.457,O,1.385,0.7269786345
SnAlO3,Sn,Al,FALSE,3,3,0.81,0.54,orthorhombic,-2.269,0.257,-,10.344,0,5.201,5.364,7.416,90,90,90,1.659,O,1.385,0.8062853947
SnAsO3,Sn,As,FALSE,3,3,0.81,0.58,tetragonal,-1.321,0.333,-,13.489,0,3.867,3.867,4.51,90,90,90,1.871,O,1.385,0.7898724604
SnAuO3,Sn,Au,FALSE,element not in BV,element not in BV,0.81,0.93,cubic,-0.361,0.905,-,13.691,0,4.091,4.091,4.091,90,90,90,-0.385,O,1.385,0.6704532979
SnBO3,Sn,B,FALSE,4,2,0.81,0.27,cubic,-1.092,1.125,-,8.323,0,3.465,3.465,3.465,90,90,90,1.685,O,1.385,0.9378244016
SnBaO3,Sn,Ba,FALSE,not balanced,not balanced,0.81,1.35,orthorhombic,-2.182,0.26,-,18.505,1.594,5.752,5.877,10.949,90,90,90,-6.743,O,1.385,0.5674952046
SnBeO3,Sn,Be,FALSE,4,2,0.81,0.45,cubic,-1.421,0.937,-,8.651,0,3.51,3.51,3.51,90,90,90,-2.775,O,1.385,0.8458307274
SnBiO3,Sn,Bi,FALSE,3,3,0.81,1.03,cubic,-1.046,0.64,-,16.076,0,4.316,4.316,4.316,90,90,90,1.066,O,1.385,0.6426912566
SnCaO3,Sn,Ca,FALSE,not balanced,not balanced,0.81,1,orthorhombic,-2.297,0.249,-,14.104,0.878,5.618,5.631,8.916,90,90,90,-,O,1.385,0.6507754234
SnCdO3,Sn,Cd,FALSE,not balanced,not balanced,0.81,0.95,cubic,-0.502,1.203,-,14.052,0,4.126,4.126,4.126,90,90,90,-4.446,O,1.385,0.6647106573
SnCeO3,Sn,Ce,FALSE,2,4,0.81,0.87,cubic,-1.64,1.013,-0.2,18.499,0,4.522,4.522,4.522,90,90,90,-3.618,O,1.385,0.6882924101
SnCoO3,Sn,Co,FALSE,2,4,0.81,0.53,cubic,-1.019,0.651,0.034,10.361,0,3.728,3.728,3.728,90,90,90,-,O,1.385,0.8104957622
SnCrO3,Sn,Cr,FALSE,2,4,0.81,0.55,orthorhombic,-1.939,0.195,0.623,11.276,0,5.295,5.543,7.684,90,90,90,1.68,O,1.385,0.8021185451
SnCsO3,Sn,Cs,FALSE,not balanced,not balanced,0.81,1.67,orthorhombic,-1.362,0.324,-,20.745,0.22,5.965,6.918,10.053,90,90,90,-1.696,O,1.385,0.5080521718
SnCuO3,Sn,Cu,FALSE,3,3,0.81,0.54,cubic,-0.744,0.751,-,10.708,0,3.769,3.769,3.769,90,90,90,-2.239,O,1.385,0.8062853947
SnDyO3,Sn,Dy,FALSE,3,3,0.81,0.91,cubic,-1.96,0.893,-0.201,16.116,0,4.319,4.319,4.319,90,90,90,-2.247,O,1.385,0.6762960282
SnErO3,Sn,Er,FALSE,3,3,0.81,0.89,cubic,-2.012,0.851,-0.198,15.719,0,4.283,4.283,4.283,90,90,90,-1.922,O,1.385,0.6822414878
SnEuO3,Sn,Eu,FALSE,3,3,0.81,0.95,orthorhombic,-2.389,0.312,0,14.788,0.88,5.707,5.783,8.961,90,90,90,-5.394,O,1.385,0.6647106573
SnFeO3,Sn,Fe,FALSE,2,4,0.81,0.59,rhombohedral,-1.496,0.284,0.846,11.389,0,5.396,5.396,5.396,61.1,61.1,61.1,0.792,O,1.385,0.7858731062
SnGaO3,Sn,Ga,FALSE,3,3,0.81,0.62,cubic,-1.374,0.57,-,11.282,0,3.835,3.835,3.835,90,90,90,0.236,O,1.385,0.7741144063
SnGdO3,Sn,Gd,FALSE,3,3,0.81,0.94,cubic,-1.899,0.94,-0.195,16.51,0,4.354,4.354,4.354,90,90,90,-2.574,O,1.385,0.6675696278
SnGeO3,Sn,Ge,FALSE,2,4,0.81,0.53,orthorhombic,-1.495,0.274,-,11.391,0,5.399,5.418,7.788,90,90,90,3.69,O,1.385,0.8104957622
SnHfO3,Sn,Hf,FALSE,2,4,0.81,0.71,orthorhombic,-2.783,0.135,0,13.857,2.398,5.797,5.821,8.214,90,90,90,5.278,O,1.385,0.7408588948
SnHgO3,Sn,Hg,FALSE,not balanced,not balanced,0.81,1.11,cubic,-0.251,1.103,-,14.613,0,4.181,4.181,4.181,90,90,90,-3.522,O,1.385,0.6220839217
SnHoO3,Sn,Ho,FALSE,3,3,0.81,0.9,cubic,-1.972,0.885,-0.008,15.913,0,4.301,4.301,4.301,90,90,90,-2.231,O,1.385,0.6792557482
SnInO3,Sn,In,FALSE,3,3,0.81,0.8,cubic,-1.037,0.779,-,14.207,0,4.142,4.142,4.142,90,90,90,-1.427,O,1.385,0.7103429678
SnIrO3,Sn,Ir,FALSE,2,4,0.81,0.63,cubic,-0.815,0.677,0.001,12.553,0,3.974,3.974,3.974,90,90,90,1.392,O,1.385,0.7702726475
SnKO3,Sn,K,FALSE,not balanced,not balanced,0.81,1.38,orthorhombic,-1.398,0.336,-,17.448,0,5.641,6.399,9.666,90,90,90,-9.86,O,1.385,0.561337933
SnLaO3,Sn,La,FALSE,3,3,0.81,1.03,cubic,-1.78,1.044,0.001,18.121,0,4.491,4.491,4.491,90,90,90,-3.04,O,1.385,0.6426912566
SnLiO3,Sn,Li,FALSE,not balanced,not balanced,0.81,0.76,cubic,-0.725,1.138,-,9.356,0,3.603,3.603,3.603,90,90,90,-5.162,O,1.385,0.7235894567
SnLuO3,Sn,Lu,FALSE,3,3,0.81,0.86,cubic,-2.093,0.782,-0.199,15.153,0,4.231,4.231,4.231,90,90,90,-0.995,O,1.385,0.6913583005
SnMgO3,Sn,Mg,FALSE,not balanced,not balanced,0.81,0.72,cubic,-1.324,1.027,-,11.245,0,3.831,3.831,3.831,90,90,90,-4.667,O,1.385,0.7373393752
SnMnO3,Sn,Mn,FALSE,2,4,0.81,0.53,cubic,-1.495,0.532,0.621,11.371,0,3.845,3.845,3.845,90,90,90,0.727,O,1.385,0.8104957622
SnMoO3,Sn,Mo,FALSE,2,4,0.81,0.65,orthorhombic,-1.681,0.227,0.003,12.669,0,5.584,5.658,8.02,90,90,90,4.32,O,1.385,0.7627024003
SnNaO3,Sn,Na,FALSE,not balanced,not balanced,0.81,1.02,orthorhombic,-1.427,0.374,-,13.218,0,5.66,5.971,7.823,90,90,90,-8.849,O,1.385,0.6453635695
SnNbO3,Sn,Nb,FALSE,2,4,0.81,0.68,tetragonal,-2.11,0.206,0,13.523,0,4.05,4.086,4.086,90,90,90,4.737,O,1.385,0.7516219781
SnNdO3,Sn,Nd,FALSE,3,3,0.81,0.98,cubic,-1.732,1.046,0,17.801,0,4.465,4.465,4.465,90,90,90,-3.327,O,1.385,0.6562788096
SnNiO3,Sn,Ni,FALSE,2,4,0.81,0.48,cubic,-0.885,0.784,0.221,10.506,0,3.745,3.745,3.745,90,90,90,-2.268,O,1.385,0.8322248712
SnNpO3,Sn,Np,FALSE,element not in BV,element not in BV,0.81,0.86,cubic,-2.186,0.655,0.591,16.918,0,4.39,4.39,4.39,90,90,90,1.877,O,1.385,0.6913583005
SnOsO3,Sn,Os,FALSE,element not in BV,element not in BV,0.81,0.57,cubic,-0.976,0.545,0.206,12.482,0,3.967,3.967,3.967,90,90,90,2.825,O,1.385,0.7939127287
SnPaO3,Sn,Pa,FALSE,element not in BV,element not in BV,0.81,0.91,orthorhombic,-2.384,0.09,0.2,16.177,2.036,5.929,6.329,8.621,90,90,90,3.83,O,1.385,0.6762960282
SnPbO3,Sn,Pb,FALSE,2,4,0.81,0.78,tetragonal,-1.134,0.579,-,15.282,0,3.886,3.886,5.059,90,90,90,1.229,O,1.385,0.7169050276
SnPdO3,Sn,Pd,FALSE,2,4,0.81,0.62,cubic,-0.658,0.774,-,12.636,0,3.983,3.983,3.983,90,90,90,0.36,O,1.385,0.7741144063
