,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN
81,AgBiO3,Ag,Bi,False,1,5,1.28,0.76,rhombohedral,-0.817,0.064,-,13.662,0,5.765,5.765,5.765,60.4,60.4,60.4,-0.062,O,1.385,0.8785266069,1.93,2.02,3.44
82,AgCaO3,Ag,Ca,False,not balanced,not balanced,1.28,1.0,rhombohedral,-0.975,0.435,-,14.204,0,5.884,5.884,5.884,59.4,59.4,59.4,-6.108,O,1.385,0.7901214138,1.93,1,3.44
83,AgCdO3,Ag,Cd,False,not balanced,not balanced,1.28,0.95,cubic,0.174,0.781,-,14.05,0,4.126,4.126,4.126,90,90,90,-4.143,O,1.385,0.8070405019,1.93,1.69,3.44
84,AgCeO3,Ag,Ce,False,not balanced,not balanced,1.28,0.94,orthorhombic,-1.597,0.28,0,15.13,0,5.962,6.115,8.3,90,90,90,-3.253,O,1.385,0.8105116438,1.93,1.12,3.44
85,AgCoO3,Ag,Co,False,not balanced,not balanced,1.28,0.63,orthorhombic,-0.481,0.258,0.005,10.146,0,5.208,5.302,7.348,90,90,90,-,O,1.385,0.9352057429,1.93,1.88,3.44
86,AgCrO3,Ag,Cr,False,1,5,1.28,0.49,orthorhombic,-1.236,0.15,0.386,10.545,0,5.357,5.401,7.29,90,90,90,0.037,O,1.385,1.0050344383,1.93,1.66,3.44
87,AgCsO3,Ag,Cs,False,not balanced,not balanced,1.28,1.67,cubic,0.539,1.287,-,16.599,0,4.362,4.362,4.362,90,90,90,-1.803,O,1.385,0.6168378304,1.93,0.79,3.44
88,AgCuO3,Ag,Cu,False,not balanced,not balanced,1.28,0.68,orthorhombic,-0.224,0.23,-,10.222,0,5.066,5.322,7.583,90,90,90,-2.405,O,1.385,0.9125615359999999,1.93,1.9,3.44
89,AgDyO3,Ag,Dy,False,not balanced,not balanced,1.28,0.99,cubic,-1.334,0.704,0,16.23,0,4.329,4.329,4.329,90,90,90,-3.359,O,1.385,0.7934482408,1.93,1.22,3.44
90,AgErO3,Ag,Er,False,not balanced,not balanced,1.28,0.89,cubic,-1.386,0.675,-0.023,15.94,0,4.303,4.303,4.303,90,90,90,-3.225,O,1.385,0.8283250865,1.93,1.24,3.44
91,AgEuO3,Ag,Eu,False,not balanced,not balanced,1.28,1.06,orthorhombic,-1.17,0.347,-0.033,13.994,0,5.684,5.956,8.268,90,90,90,-4.981,O,1.385,0.7707319312,1.93,-,3.44
92,AgFeO3,Ag,Fe,False,not balanced,not balanced,1.28,0.67,orthorhombic,-0.817,0.142,0.851,10.78,0,5.451,5.474,7.225,90,90,90,-,O,1.385,0.9170022248,1.93,1.83,3.44
93,AgGaO3,Ag,Ga,False,not balanced,not balanced,1.28,0.62,orthorhombic,-0.927,0.236,-,10.602,0,5.13,5.419,7.628,90,90,90,-2.518,O,1.385,0.9398701106999999,1.93,1.81,3.44
94,AgGdO3,Ag,Gd,False,not balanced,not balanced,1.28,0.94,cubic,-1.281,0.728,0,16.72,0,4.373,4.373,4.373,90,90,90,-3.47,O,1.385,0.8105116438,1.93,1.2,3.44
95,AgGeO3,Ag,Ge,False,not balanced,not balanced,1.28,0.63,orthorhombic,-1.053,0.186,-,10.4,0,5.325,5.343,7.31,90,90,90,-0.267,O,1.385,0.9352057429,1.93,2.01,3.44
96,AgHfO3,Ag,Hf,False,not balanced,not balanced,1.28,0.71,orthorhombic,-2.24,0.17,0.002,12.255,0,5.376,5.735,7.951,90,90,90,-0.054,O,1.385,0.8994938291,1.93,1.3,3.44
