,0,Formation energy [eV/atom],Magnetic moment [mu_B],Radius A [ang],Radius B [ang],Stability [eV/atom],Vacancy energy [eV/O atom],Volume per atom [A^3/atom],a [ang],alpha [deg],b [ang],beta [deg],c [ang],gamma [deg],band gap (dft),band gap(ml),diff
74,,-2.233,0,0.72,1.02,0.242,-10.109,12.446,5.305,90,5.535,90,8.478,90,2.123,1.0415295906,1.0814704094
75,,-2.035,0.693,0.79,0.68,0.527,3.495,12.697,3.989,90,3.989,90,3.989,90,0,0.0154895438,-0.0154895438
76,,-2.912,0.4,0.72,0.98,0.284,-5.876,13.858,5.687,90,5.808,90,8.392,90,1.358,0.5062772879,0.8517227121
77,,-0.965,0.22,0.79,0.48,1.039,-1.428,9.639,3.639,90,3.639,90,3.639,90,0,0.0010121121,-0.0010121121
78,,-0.874,0.505,0.72,0.57,0.976,0.23,11.602,3.871,90,3.871,90,3.871,90,0,-0.0090629097,0.0090629097
79,,-2.075,0.799,0.72,0.91,0.689,3.863,16.596,4.362,90,4.362,90,4.362,90,0,-0.0048261783,0.0048261783
80,,-0.525,0.482,0.79,0.62,1.236,-3.547,11.941,3.908,90,3.908,90,3.908,90,0,-0.0031881674,0.0031881674
81,,-2.941,0.4,0.72,0.97,0.275,-6.807,13.611,5.67,90,5.767,90,8.324,90,1.406,1.1489877299,0.2570122701
82,,-2.888,0.4,0.79,0.85,0.292,-7.01,14.118,5.723,90,5.819,90,8.479,90,1.315,0.4218077708,0.8931922292
83,,-0.467,0.514,0.72,0.67,1.271,-2.191,12.287,3.946,90,3.946,90,3.946,90,0,0.0044236489,-0.0044236489
84,,-2.339,0,0.72,1.52,0.029,-19.751,17.828,5.618,90,5.953,90,10.66,90,2.477,1.6861683811,0.7908316189
85,,-1.253,0.671,0.79,0.63,0.831,1.246,11.78,3.891,90,3.891,90,3.891,90,0,-0.0066723346,0.0066723346
86,,-0.75,0.338,0.79,0.6,1.064,-1.777,11.669,3.878,90,3.878,90,3.878,90,0,-0.0104296701,0.0104296701
87,,-0.941,0.28,0.79,0.62,0.944,-0.311,11.609,3.872,90,3.872,90,3.872,90,0,0.0065534691,-0.0065534691
88,,-1.161,0.693,0.79,0.68,0.944,0.871,13.135,4.035,90,4.035,90,4.035,90,0,0.0004875273,-0.0004875273
89,,-2.069,0.402,0.72,0.75,1.15,-3.636,12.606,3.98,90,3.98,90,3.98,90,0,-0.0084881803,0.0084881803
90,,-2.177,0.6,0.79,0.4,0.596,4.538,8.819,3.533,90,3.533,90,3.533,90,0,0.0996946831,-0.0996946831
91,,-2.955,0.4,0.72,0.96,0.268,-6.477,13.425,5.655,90,5.74,90,8.271,90,1.638,0.830099755,0.807900245
92,,-1.985,0.597,0.79,0.69,0.223,1.47,11.623,5.362,90,5.585,90,7.763,90,0,0.1880362735,-0.1880362735
93,,-2.723,0.2,0.72,1.18,0.158,-9.981,14.899,5.532,90,5.639,90,9.553,90,1.523,0.7703213246,0.7526786754
94,,-2.226,0.727,0.79,0.68,0.509,4.183,12.481,3.966,90,3.966,90,3.966,90,0,0.1670530083,-0.1670530083
95,,-1.58,0.401,0.79,0.76,1.553,-5.874,15.806,4.291,90,4.291,90,4.291,90,0,0.0021225094,-0.0021225094
96,,-1.265,0.668,0.72,0.6,0.816,0.559,11.587,3.869,90,3.869,90,3.869,90,0,0.0004096107,-0.0004096107
97,,-2.2,0.601,0.79,0.94,1.247,-1.902,18.712,4.54,90,4.54,90,4.54,90,0,0.2098532632,-0.2098532632
98,,-2.344,0.6,0.79,0.61,0.569,1.646,11.243,3.831,90,3.831,90,3.831,90,0,0.0150932496,-0.0150932496
99,,-1.566,0.4,0.72,1.2,0.404,-5.31,12.645,5.575,90,5.589,90,8.116,90,0.209,0.0030691586,0.2059308414
100,,-1.875,0.4,0.72,0.96,1.417,-5.136,14.819,4.2,90,4.2,90,4.2,90,0,0.0074302766,-0.0074302766
101,,-2.295,0.601,0.79,0.89,0.901,1.009,15.994,4.308,90,4.308,90,4.308,90,0,0.1879136739,-0.1879136739
102,,-1.888,0.8,0.72,0.64,0.743,0.598,10.683,3.766,90,3.766,90,3.766,90,0,-0.0077298383,0.0077298383
103,,-1.676,0.704,0.79,0.66,0.635,3.456,11.983,3.913,90,3.913,90,3.913,90,0,0.1013986742,-0.1013986742
104,,-1.722,0.4,0.72,0.9,1.529,-5.694,15.792,4.29,90,4.29,90,4.29,90,0,0.007709975,-0.007709975
105,,-2.858,0.2,0.72,0.95,0.22,-7.759,12.678,5.393,90,5.432,90,8.656,90,1.333,0.3302529175,1.0027470825
106,,-0.891,0.403,0.72,0.74,1.27,-4.832,10.64,3.761,90,3.761,90,3.761,90,0,-0.0167212378,0.0167212378
107,,-2.328,0.6,0.79,0.72,0.756,0.821,13.826,4.104,90,4.104,90,4.104,90,0,0.008812267,-0.008812267
108,,-2.396,0.2,0.63,1.12,0.373,-5.02,16.558,5.928,65.7,5.928,65.7,5.928,65.7,0,0.2611211855,-0.2611211855
109,,-1.414,0,0.66,0.75,0.543,-12.443,13.656,5.252,90,6.199,90,8.389,90,0.532,-0.0248061995,0.5568061995
110,,-1.41,0.576,0.66,0.54,1.21,1.043,9.692,3.646,90,3.646,90,3.646,90,0,-0.0208840238,0.0208840238
111,,0.022,0.755,0.66,0.58,1.978,-1.385,11.893,3.903,90,3.903,90,3.903,90,0,-0.0040706616,0.0040706616
112,,0.79,0.66,0.63,0.93,2.746,-11.822,13.324,4.054,90,4.054,90,4.054,90,0,0.0616251381,-0.0616251381
113,,-0.52,0.464,0.66,0.27,1.771,0.235,7.865,3.401,90,3.401,90,3.401,90,0,0.0036178298,-0.0036178298
114,,-2.419,0,0.66,1.35,0.308,-18.683,18.913,6.269,63.9,6.269,63.9,6.269,63.9,1.695,0.8822532206,0.8127467794
115,,-1.232,0.274,0.66,0.45,1.26,0,7.882,3.403,90,3.403,90,3.403,90,0,-0.0149185059,0.0149185059
116,,0.287,0.835,0.66,1.03,2.243,-0.405,15.235,4.239,90,4.239,90,4.239,90,0,0.0104181367,-0.0104181367
117,,-2.37,0,0.66,1,0.393,-13.482,14.438,5.777,62.7,5.777,62.7,5.777,62.7,0.855,0.3350200495,0.5199799505
118,,-1.494,0,0.66,0.95,0.462,-12.523,13.866,5.444,70.4,5.444,70.4,5.444,70.4,1.108,0.1793936295,0.9286063705
119,,-0.331,0.601,0.66,1.01,2.484,-12.106,18.322,4.508,90,4.508,90,4.508,90,0,0.0520167322,-0.0520167322
120,,-0.281,0.363,0.66,0.61,1.676,-2.7,9.707,3.648,90,3.648,90,3.648,90,0,0.0279694308,-0.0279694308
121,,-0.8,1.199,0.66,0.62,1.434,-2.864,10.965,3.799,90,3.799,90,3.799,90,0,0.0053035474,-0.0053035474
122,,-0.03,0.482,0.66,0.54,1.927,-6.148,10.017,3.686,90,3.686,90,3.686,90,0,0.0070789187,-0.0070789187
123,,-0.843,0.602,0.66,0.91,2.1,-9.02,15.386,4.253,90,4.253,90,4.253,90,0,0.0016035995,-0.0016035995
124,,-0.938,0.6,0.66,0.89,2.077,-8.321,14.851,4.203,90,4.203,90,4.203,90,0,0.0093543116,-0.0093543116
125,,-2.538,0,0.66,0.95,0.375,-15.419,15.144,5.838,63.5,5.838,63.5,5.838,63.5,0.928,1.0611309763,-0.1331309763
126,,-0.35,1.592,0.66,0.65,1.651,-2.876,11.042,3.808,90,3.808,90,3.808,90,0,-0.0053134893,0.0053134893
127,,-1.488,0,0.66,0.62,0.542,-2.514,13.458,5.259,76.2,5.259,76.2,5.259,76.2,0,-0.0285097858,0.0285097858
128,,-0.735,0.598,0.66,0.94,2.244,-9.774,15.992,4.308,90,4.308,90,4.308,90,0,0.0041974209,-0.0041974209
129,,-0.359,0.762,0.66,0.53,1.598,0.254,10.859,3.787,90,3.787,90,3.787,90,0,0.0015057871,-0.0015057871
130,,-1.464,0.8,0.66,0.71,1.492,-2.673,13.415,4.063,90,4.063,90,4.063,90,0,0.0062273804,-0.0062273804
131,,0.912,0.661,0.66,1.02,2.868,-14.081,14.263,4.147,90,4.147,90,4.147,90,0,-0.134080384,0.134080384
132,,-0.892,0.601,0.66,0.9,2.063,-8.659,15.104,4.227,90,4.227,90,4.227,90,0,0.0239484456,-0.0239484456
133,,-1.486,0,0.66,0.8,0.47,-7.887,14.255,5.494,70.4,5.494,70.4,5.494,70.4,0,0.2190972333,-0.2190972333
134,,0.335,0.571,0.66,0.68,2.291,-6.691,12.082,3.924,90,3.924,90,3.924,90,0,-0.0108325259,0.0108325259
135,,-2.125,0,0.63,1.38,0.247,-11.031,17.2,5.315,90,6.346,90,10.199,90,0,0.6884545989,-0.6884545989
136,,-0.466,0.6,0.66,1.03,2.458,-11.681,17.849,4.469,90,4.469,90,4.469,90,0,0.0386154234,-0.0386154234
137,,-2.139,0.07,0.63,0.76,0.268,-5.097,9.376,4.763,90,5.057,90,7.786,90,0,-0.0146048274,0.0146048274
138,,-1.076,0.6,0.66,0.86,1.952,-7.232,14.129,4.134,90,4.134,90,4.134,90,0,0.0089141801,-0.0089141801
139,,-0.859,0.387,0.66,0.72,1.696,-4.827,10.061,3.692,90,3.692,90,3.692,90,0,-0.0042356226,0.0042356226
140,,-0.567,1.4,0.66,0.65,1.642,-5.286,10.998,3.803,90,3.803,90,3.803,90,0,-0.0030456975,0.0030456975
141,,-0.494,0.798,0.66,0.69,1.463,-2.432,12.221,3.939,90,3.939,90,3.939,90,0,0.001002566,-0.001002566
142,,-2.028,0.005,0.63,1.02,0.352,-14.529,13.044,5.444,90,5.75,90,8.334,90,0,0.1448006253,-0.1448006253
143,,-0.916,0.837,0.66,0.72,1.392,-0.106,12.956,4.016,90,4.016,90,4.016,90,0,0.0080890881,-0.0080890881
144,,-0.471,0.599,0.66,0.98,2.453,-11.381,17.431,4.434,90,4.434,90,4.434,90,0,-9.10326517018703E-05,9.10326517018703E-05
145,,-0.224,0.779,0.66,0.69,1.732,-3.922,9.906,3.673,90,3.673,90,3.673,90,0,-0.001954581,0.001954581
146,,-0.93,-0.434,0.63,0.86,1.949,-6.591,15.885,4.298,90,4.298,90,4.298,90,0,-0.0013694662,0.0013694662
147,,0.196,0.547,0.63,0.57,2.153,-6.024,11.924,3.907,90,3.907,90,3.907,90,0,-0.0025105338,0.0025105338
148,,-1.054,0.993,0.63,0.91,1.458,2.071,16.736,4.374,90,4.374,90,4.374,90,0,-0.1062100513,0.1062100513
149,,0.378,0.579,0.66,0.86,2.334,-5.756,12.139,3.93,90,3.93,90,3.93,90,0,-0.010770671,0.010770671
150,,-0.547,0.6,0.63,0.97,2.271,-10.954,17.013,4.398,90,4.398,90,4.398,90,0,-0.1312996958,0.1312996958
151,,-0.405,0.6,0.66,0.99,2.451,-11.743,17.833,4.468,90,4.468,90,4.468,90,0,0.0398407138,-0.0398407138
152,,0.501,0.627,0.63,0.67,2.458,-7.643,12.59,3.978,90,3.978,90,3.978,90,0,-0.0067786761,0.0067786761
153,,-0.394,0.739,0.63,0.83,2.402,-12.844,15.952,4.305,90,4.305,90,4.305,90,0,-0.0663835658,0.0663835658
154,,-2.138,0,0.63,1.52,0.238,-5.054,18.834,5.34,90,6.542,90,10.783,90,0,0.5445370957,-0.5445370957
155,,-0.123,0.792,0.66,0.63,1.833,-4.812,12.096,3.925,90,3.925,90,3.925,90,0,0.0069628418,-0.0069628418
156,,0.182,0.528,0.66,0.67,2.139,-5.188,11.783,3.891,90,3.891,90,3.891,90,0,-0.0019836068,0.0019836068
157,,0.059,0.446,0.66,0.68,2.015,-4.789,11.738,3.886,90,3.886,90,3.886,90,0,0.0035883181,-0.0035883181
158,,-0.034,0.869,0.63,0.68,1.923,-4.124,13.594,4.081,90,4.081,90,4.081,90,0,4.27444568358426E-05,-4.27444568358426E-05
159,,-1.236,0.599,0.66,0.75,1.647,-5.206,12.422,3.96,90,3.96,90,3.96,90,0,0.0040070357,-0.0040070357
160,,-0.9,0.751,0.66,0.4,1.598,1.663,9.471,3.618,90,3.618,90,3.618,90,0,-0.0157391026,0.0157391026
161,,-0.595,0.599,0.66,0.96,2.235,-10.65,16.731,4.374,90,4.374,90,4.374,90,0,0.0094773978,-0.0094773978
162,,-1.618,0,0.66,0.69,0.339,0.587,12.066,5.535,90,6.462,90,6.748,90,0,-0.0299944107,0.0299944107
163,,-2.413,0,0.66,1.18,0.332,-16.873,16.614,6.037,63.1,6.037,63.1,6.037,63.1,1.361,0.545598303,0.815401697
164,,-1.092,0.874,0.66,0.72,1.425,0.735,12.773,3.997,90,3.997,90,3.997,90,0,0.0099375529,-0.0099375529
165,,-0.659,0.599,0.66,0.92,2.1,-9.392,15.686,4.28,90,4.28,90,4.28,90,0,0.0055839379,-0.0055839379
166,,-0.179,0.774,0.63,0.6,1.777,-4.149,11.823,3.896,90,3.896,90,3.896,90,0,-0.0069314462,0.0069314462
167,,0.252,0.847,0.63,0.77,2.208,-5.396,14.453,4.165,90,4.165,90,4.165,90,0,-0.0125833519,0.0125833519
168,,-1.155,0.8,0.63,0.94,2.04,-0.322,18.641,4.534,90,4.534,90,4.534,90,0,-0.0283836586,0.0283836586
169,,-1.268,0.719,0.66,0.61,1.33,-3.038,11.466,3.856,90,3.856,90,3.856,90,0,-0.0041604114,0.0041604114
170,,-1.74,-0.001,0.66,0.89,0.217,-13.345,18.012,5.342,90,6.559,90,10.281,90,0,-0.5787784459,0.5787784459
171,,-0.997,0.6,0.66,0.88,1.949,-7.907,14.566,4.176,90,4.176,90,4.176,90,0,0.0073612339,-0.0073612339
172,,-1.234,1.184,0.66,1.03,1.711,1.857,16.159,4.323,90,4.323,90,4.323,90,0,0.0001542191,-0.0001542191
173,,-0.867,1,0.66,0.64,1.445,-3.895,11.122,3.817,90,3.817,90,3.817,90,0,0.0232663464,-0.0232663464
174,,-0.532,0.835,0.66,0.66,1.427,-2.362,12.289,3.946,90,3.946,90,3.946,90,0,0.0042165143,-0.0042165143
175,,-0.818,0.599,0.66,0.9,2.149,-9.024,15.402,4.255,90,4.255,90,4.255,90,0,-0.000116486,0.000116486
176,,-2.5,0.001,0.66,0.87,0.234,-13.326,14.644,5.95,59.3,5.95,59.3,5.95,59.3,0.685,1.080232689,-0.395232689
177,,-0.138,0.488,0.66,0.74,1.833,-6.731,10.775,3.777,90,3.777,90,3.777,90,0,-0.0104546186,0.0104546186
178,,-1.272,0.8,0.66,0.72,1.561,-4.009,13.954,4.117,90,4.117,90,4.117,90,0,-0.0022239306,0.0022239306
179,,-2.181,0,1.08,1.12,1.513,0.977,20.264,4.662,90,4.662,90,4.662,90,0,0.1328183259,-0.1328183259
180,,-1.43,0,1.08,0.75,0.587,-0.506,13.023,4.023,90,4.023,90,4.023,90,0,0.0202240469,-0.0202240469
181,,-3.56,0,1.08,0.54,-0.023,6.272,10.255,5.188,90,5.347,90,7.394,90,5.872,6.0194762603,-0.1474762603
182,,-1.911,0,1.08,0.58,0.751,2.181,12.728,3.992,90,3.992,90,3.992,90,0,-0.0213218157,0.0213218157
183,,-1.294,0,1.08,0.93,0.751,-0.579,13.772,4.099,90,4.099,90,4.099,90,0,0.0007740183,-0.0007740183
